face_id,candidate_path,candidate_id,input_ssim,input_psnr,input_mse,input_l2,model,prompt,seed,steps,guidance_scale,output_ssim,output_psnr,output_mse,output_l2,original_path,perturbed_path,clean_edit_path,perturbed_edit_path,strip_path,arcface_model,arcface_original_vs_perturbed,arcface_clean_edit_vs_perturbed_edit,arcface_original_vs_clean_edit,arcface_perturbed_vs_perturbed_edit,arcface_edit_identity_drop,arcface_review_priority,arcface_status
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add black sunglasses,1234,10,1.0,0.7389674186706543,19.59975949100973,0.01096538919955492,0.10471575430447379,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg,ArcFace iResNet-100,0.8609440326690674,0.7757794857025146,0.6549568176269531,0.7090070247650146,-0.05405020713806152,0.03111433982849121,scored
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add black sunglasses,1234,10,1.0,0.710506021976471,19.904509838979894,0.01022230926901102,0.10110543639691696,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_black_sunglasses/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg,ArcFace iResNet-100,0.4953060448169708,0.5474789142608643,0.6549568176269531,0.7373839616775513,-0.08242714405059814,-0.13460001349449158,scored
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add over-ear headphones,1234,10,1.0,0.5667949318885803,17.661920978563245,0.017131993547081947,0.13088924152535206,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg,ArcFace iResNet-100,0.8609440326690674,0.7817301750183105,0.9138843417167664,0.9552539587020874,-0.041369616985321045,0.03784424066543579,scored
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add over-ear headphones,1234,10,1.0,0.5328252911567688,17.19293609326241,0.019085625186562538,0.13815073357229246,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_over_ear_headphones/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg,ArcFace iResNet-100,0.4953060448169708,0.4869368076324463,0.9138843417167664,0.9314963817596436,-0.017612040042877197,-0.009242802858352661,scored
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a blue medical mask,1234,10,1.0,0.6682102084159851,17.930107938856196,0.016106056049466133,0.12690963733880156,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg,ArcFace iResNet-100,0.8609440326690674,0.7535727024078369,0.5523188710212708,0.5987575054168701,-0.046438634395599365,0.060932695865631104,scored
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add a blue medical mask,1234,10,1.0,0.6349717974662781,17.460878012190925,0.01794370822608471,0.13395412732008188,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_blue_medical_mask/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg,ArcFace iResNet-100,0.4953060448169708,0.5106220841407776,0.5523188710212708,0.5183789134025574,0.03393995761871338,0.018623918294906616,scored
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a red scarf,1234,10,1.0,0.809316873550415,22.991833732583196,0.005021305289119482,0.0708611691204674,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg,ArcFace iResNet-100,0.8609440326690674,0.8412537574768066,0.9876976609230042,0.9828839302062988,0.004813730716705322,0.024504005908966064,scored
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add a red scarf,1234,10,1.0,0.7713447213172913,21.919929085777326,0.006426982115954161,0.08016846085558935,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_red_scarf/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg,ArcFace iResNet-100,0.4953060448169708,0.5126401782035828,0.9876976609230042,0.9761462807655334,0.011551380157470703,-0.005782753229141235,scored
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a royal blue scarf,1234,10,1.0,0.7963550090789795,21.29403106716945,0.007423297967761755,0.08615856293927932,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg,ArcFace iResNet-100,0.8609440326690674,0.8466288447380066,0.9880244731903076,0.9847652912139893,0.0032591819763183594,0.01757436990737915,scored
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add a royal blue scarf,1234,10,1.0,0.7608461380004883,20.583177220105746,0.008743438869714737,0.09350635737592786,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_prompt_sweep/image_1/add_a_royal_blue_scarf/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg,ArcFace iResNet-100,0.4953060448169708,0.5202119946479797,0.9880244731903076,0.9801424145698547,0.00788205862045288,-0.01702389121055603,scored
