face_id,candidate_path,candidate_id,input_ssim,input_psnr,input_mse,input_l2,model,prompt,seed,steps,guidance_scale,output_ssim,output_psnr,output_mse,output_l2,original_path,perturbed_path,clean_edit_path,perturbed_edit_path,strip_path
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a black eyepatch over the left eye,1234,10,1.0,0.8091509938240051,17.494443735602477,0.017805559560656548,0.1334374743490619,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_1234/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_1234/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_1234/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add a black eyepatch over the left eye,1234,10,1.0,0.7740691304206848,17.270700323748994,0.01874692179262638,0.1369193988908306,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_1234/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_1234/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_1234/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a black eyepatch over the left eye,24001,10,1.0,0.8255681395530701,17.132926583263057,0.0193511750549078,0.13910850101596164,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_24001/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_24001/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_24001/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add a black eyepatch over the left eye,24001,10,1.0,0.811553955078125,16.642376963376318,0.0216651801019907,0.1471909647430531,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_24001/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_24001/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_24001/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a black eyepatch over the left eye,7777,10,1.0,0.8566772937774658,18.520884750203482,0.014057611115276814,0.11856479711650003,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_7777/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_7777/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_7777/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add a black eyepatch over the left eye,7777,10,1.0,0.8495121002197266,19.74211495943202,0.010611786507070065,0.10301352584525036,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_7777/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_7777/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_black_eyepatch_over_the_left_eye/seed_7777/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a large red clown nose,1234,10,1.0,0.8030028343200684,20.170597405531872,0.009614800103008747,0.09805508708378545,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_1234/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_1234/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_1234/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add a large red clown nose,1234,10,1.0,0.7674093842506409,19.905827626973974,0.010219207964837551,0.10109009825317983,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_1234/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_1234/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_1234/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a large red clown nose,24001,10,1.0,0.8712964057922363,21.575554029117296,0.006957361940294504,0.0834108022997891,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_24001/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_24001/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_24001/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,output_save_image_1_results_bspline_25_vae_latent_out_png,0.9142565727233887,29.64483413845938,0.0010852169943973422,0.0329426318681028,black-forest-labs/FLUX.2-klein-4B,Add a large red clown nose,24001,10,1.0,0.8602006435394287,21.628502167621573,0.006873054429888725,0.08290388669953132,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/bspline_25/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_24001/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_24001/output_save_image_1_results_bspline_25_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_24001/output_save_image_1_results_bspline_25_vae_latent_out_png/comparison_strip.jpg
image_1,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,output_save_image_1_results_all_10_vae_latent_out_png,0.9478314518928528,34.36732709723198,0.00036581986933015287,0.019126418099846946,black-forest-labs/FLUX.2-klein-4B,Add a large red clown nose,7777,10,1.0,0.8687981963157654,22.00501607646582,0.006302290130406618,0.07938696448666253,/home/interns/Desktop/amit_code/new_images/original.jpg,/home/interns/Desktop/amit_code/output_save/image_1/results/all_10/vae_latent_out.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_7777/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_7777/output_save_image_1_results_all_10_vae_latent_out_png/perturbed_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/flux_klein_refinement_sweep/image_1/add_a_large_red_clown_nose/seed_7777/output_save_image_1_results_all_10_vae_latent_out_png/comparison_strip.jpg
