mode,comparison,left_stage,right_stage,left_edit_path,right_edit_path,edit_ssim,edit_psnr,edit_mse,edit_l2,arcface_edit_cosine_similarity
baseline_control,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/vae_reconstruction_edit.png,0.8892146944999695,18.648265747324512,0.013651281595230103,0.11683869904800422,0.8325568437576294
baseline_control,neutral_geometry_resampling_on_original,clean_edit,neutral_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/neutral_geometry_on_original_edit.png,0.9877519011497498,42.33267080323423,5.8443056332180277e-05,0.007644805840057697,0.9938786029815674
baseline_control,neutral_geometry_resampling_after_reconstruction,vae_reconstruction,neutral_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/neutral_geometry_on_reconstruction_edit.png,0.9991728663444519,55.53253735892045,2.797346496663522e-06,0.0016725269793529556,0.9998008012771606
geometry_only_original,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,0.8892146944999695,18.648265747324512,0.013651281595230103,0.11683869904800422,0.8325568437576294
geometry_only_original,delta_increment_after_reconstruction,vae_reconstruction,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_delta_only_edit.png,1.0,inf,0.0,0.0,1.0
geometry_only_original,geometry_on_original_effect,clean_edit,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_original_edit.png,0.9588673114776611,34.599595558602644,0.00034676914219744503,0.018621738431130564,0.9892768859863281
geometry_only_original,geometry_on_reconstruction_effect,vae_reconstruction,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_reconstruction_edit.png,0.9729284644126892,31.83880146829808,0.0006548168603330851,0.025589389604542837,0.9529613852500916
geometry_only_original,geometry_increment_after_delta,learned_delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_combined_edit.png,0.9729284644126892,31.83880146829808,0.0006548168603330851,0.025589389604542837,0.9529613852500916
geometry_only_original,order_effect,learned_combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_combined_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/geometry_then_vae_reconstruction_edit.png,0.9093195796012878,19.204321832108473,0.012010686099529266,0.10959327579522964,0.8529283404350281
geometry_only_reconstruction,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/vae_reconstruction_edit.png,0.8892146944999695,18.648265747324512,0.013651281595230103,0.11683869904800422,0.8325568437576294
geometry_only_reconstruction,delta_increment_after_reconstruction,vae_reconstruction,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_delta_only_edit.png,1.0,inf,0.0,0.0,1.0
geometry_only_reconstruction,geometry_on_original_effect,clean_edit,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_original_edit.png,0.9198746085166931,29.028228467007004,0.0012507691280916333,0.03536621450044708,0.9700611233711243
geometry_only_reconstruction,geometry_on_reconstruction_effect,vae_reconstruction,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png,0.4640873372554779,10.032065837394002,0.09926437586545944,0.3150624951743058,0.3499895930290222
geometry_only_reconstruction,geometry_increment_after_delta,learned_delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_combined_edit.png,0.4640873372554779,10.032065837394002,0.09926437586545944,0.3150624951743058,0.3499895930290222
geometry_only_reconstruction,order_effect,learned_combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_combined_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/geometry_then_vae_reconstruction_edit.png,0.6402379274368286,11.85570350604542,0.06522733718156815,0.255396431419016,0.5398367643356323
