iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,geometry_only_reconstruction,0.18605023622512817,0.05795598030090332,0.9420440196990967,0.15310657024383545,0.0007718309643678367,0.0,0.8418986797332764,31.124913947906894,0.0007718068081885576,0.2312730960547924,0.2313411720097065,2.1680703163146973
1,geometry_only_reconstruction,0.6276527047157288,0.07531201839447021,0.9246879816055298,0.2761154770851135,0.0019554216414690018,0.0,0.8140584826469421,28.028901219269375,0.0015743811381980777,0.21174901351332664,0.5085979718714952,2.7628698348999023
2,geometry_only_reconstruction,0.6019008755683899,0.08096307516098022,0.9190369248390198,0.2822686433792114,0.0018841433338820934,0.0,0.8170400261878967,28.33976510754425,0.0014656271087005734,0.21306604519486427,0.7751106601208448,2.7628698348999023
3,geometry_only_reconstruction,0.31942519545555115,0.09178221225738525,0.9082177877426147,0.24742108583450317,0.0014195956755429506,0.0,0.8379576206207275,29.77379142157443,0.0010534668108448386,0.220057912170887,1.0473422445356846,2.7628698348999023
4,geometry_only_reconstruction,0.09823573380708694,0.09641236066818237,0.9035876393318176,0.2124471664428711,0.0012350586475804448,0.0,0.8510441780090332,30.30525262533103,0.0009321262477897108,0.215500108897686,1.3127204719930887,2.7628698348999023
5,geometry_only_reconstruction,0.15656150877475739,0.09794056415557861,0.9020594358444214,0.22716450691223145,0.0014461029786616564,0.0,0.8443253636360168,29.492649282894234,0.0011239191517233849,0.2168582733720541,1.5920622199773788,2.7628698348999023
6,geometry_only_reconstruction,0.1665000170469284,0.09421789646148682,0.9057821035385132,0.22170615196228027,0.0014821819495409727,0.0,0.845268964767456,29.300844439831216,0.001174669130705297,0.21350038424134254,1.8571960739791393,2.7628698348999023
7,geometry_only_reconstruction,0.08832927793264389,0.0979493260383606,0.9020506739616394,0.21353626251220703,0.0014122272841632366,0.0,0.8477079272270203,29.48877922316091,0.0011249211383983493,0.2556030508130789,2.162827707827091,2.7628698348999023
8,geometry_only_reconstruction,0.00869834702461958,0.1078333854675293,0.8921666145324707,0.21737682819366455,0.0014806035906076431,0.0,0.8451966643333435,29.245306747510366,0.00118978729005903,0.24713481217622757,2.4740404430776834,2.7628698348999023
9,geometry_only_reconstruction,-0.11473071575164795,0.12150424718856812,0.8784957528114319,0.22002935409545898,0.0016498862532898784,0.0,0.8410391807556152,28.700354919112762,0.0013488526456058025,0.21480881050229073,2.7560227774083614,2.763594150543213
10,geometry_only_reconstruction,-0.12332910299301147,0.12711268663406372,0.8728873133659363,0.229522705078125,0.001842377707362175,0.0,0.8366381525993347,28.2128805468739,0.0015090788947418332,0.21865704283118248,3.0388276260346174,2.764906406402588
11,geometry_only_reconstruction,-0.09258376061916351,0.12821388244628906,0.8717861175537109,0.23787075281143188,0.002013574354350567,0.0,0.832756519317627,27.824176180459602,0.0016503740334883332,0.21606000699102879,3.3253712598234415,2.764906406402588
12,geometry_only_reconstruction,-0.11964650452136993,0.13398122787475586,0.8660187721252441,0.24399006366729736,0.0021545346826314926,0.0,0.8295450210571289,27.505889472700783,0.0017758695175871253,0.21341429837048054,3.58933886885643,2.764906406402588
13,geometry_only_reconstruction,0.03293127939105034,0.11841392517089844,0.8815860748291016,0.24336957931518555,0.002226363169029355,0.0,0.8286380767822266,27.31308602299368,0.0018564847996458411,0.23690500110387802,3.878551786765456,2.764906406402588
14,geometry_only_reconstruction,0.026112310588359833,0.11997216939926147,0.8800278306007385,0.2451203465461731,0.002323310822248459,0.0,0.8273960947990417,27.107162859557178,0.0019466313533484936,0.24102775938808918,4.164321379736066,2.764906406402588
15,geometry_only_reconstruction,-0.036211688071489334,0.12378299236297607,0.8762170076370239,0.24027657508850098,0.002353619085624814,0.0,0.8285107016563416,27.045628822847636,0.001974408980458975,0.22575735673308372,4.436050297692418,2.764906406402588
16,geometry_only_reconstruction,-0.06135789304971695,0.12856173515319824,0.8714382648468018,0.24480485916137695,0.0023516269866377115,0.0,0.8293697237968445,27.08424003630722,0.0019569331780076027,0.23807981610298157,4.717505268752575,2.764906406402588
17,geometry_only_reconstruction,-0.08262552320957184,0.13260257244110107,0.8673974275588989,0.2486335039138794,0.0023268505465239286,0.0,0.8291177749633789,27.160571367949295,0.0019228387391194701,0.23584626615047455,4.9982805997133255,2.764906406402588
18,geometry_only_reconstruction,-0.20991510152816772,0.1440579891204834,0.8559420108795166,0.2460876703262329,0.0022643948905169964,0.0,0.8306828141212463,27.29964777968359,0.00186223816126585,0.23593253828585148,5.278951417654753,2.764906406402588
19,geometry_only_reconstruction,-0.3000815510749817,0.15539002418518066,0.8446099758148193,0.25071847438812256,0.0022630926687270403,0.0,0.8290652632713318,27.317886668886242,0.0018544337945058942,0.23589542508125305,5.572028074413538,2.766340732574463
20,geometry_only_reconstruction,-0.3061497211456299,0.15769225358963013,0.8423077464103699,0.2541104555130005,0.0022054361179471016,0.0,0.8291008472442627,27.464882003290416,0.0017927172593772411,0.2366153597831726,5.864295035600662,2.766340732574463
21,geometry_only_reconstruction,-0.3459700047969818,0.1588895320892334,0.8411104679107666,0.24854326248168945,0.0020899693481624126,0.0,0.8324183821678162,27.72994489404062,0.001686574425548315,0.2370201963931322,6.1576747596263885,2.766340732574463
22,geometry_only_reconstruction,-0.321628212928772,0.1553729772567749,0.8446270227432251,0.24638092517852783,0.0019692545756697655,0.0,0.8344931602478027,28.03114555349002,0.0015735677443444729,0.24804512411355972,6.462878849357367,2.766340732574463
23,geometry_only_reconstruction,-0.34551945328712463,0.15753406286239624,0.8424659371376038,0.2459256649017334,0.0019284533336758614,0.0,0.8342812061309814,28.116947967653843,0.0015427842736244202,0.2364861387759447,6.752274928614497,2.766340732574463
24,geometry_only_reconstruction,-0.40580523014068604,0.16094636917114258,0.8390536308288574,0.24069321155548096,0.0019241366535425186,0.0,0.8345656991004944,28.085122347453183,0.0015541315078735352,0.2372965794056654,7.0357230473309755,2.766340732574463
25,geometry_only_reconstruction,-0.4515790343284607,0.16622626781463623,0.8337737321853638,0.24209743738174438,0.001965300878509879,0.0,0.8327050805091858,27.963445936286,0.0015982893528416753,0.23513986356556416,7.328897541388869,2.766340732574463
26,geometry_only_reconstruction,-0.4845331907272339,0.17240095138549805,0.827599048614502,0.24785518646240234,0.002003797795623541,0.0,0.8302812576293945,27.88142745496387,0.0016287605976685882,0.2251375112682581,7.609629267826676,2.766340732574463
27,geometry_only_reconstruction,-0.507164716720581,0.17454177141189575,0.8254582285881042,0.2476102113723755,0.0020192007068544626,0.0,0.8299901485443115,27.835402017394046,0.001646113581955433,0.2333510834723711,7.897400936111808,2.766340732574463
28,geometry_only_reconstruction,-0.5455527305603027,0.17714393138885498,0.822856068611145,0.245136559009552,0.002038395032286644,0.0,0.8301485180854797,27.762254138635818,0.0016740737482905388,0.23905333131551743,8.192906867712736,2.766340732574463
29,geometry_only_reconstruction,-0.5440205335617065,0.17748308181762695,0.822516918182373,0.24612009525299072,0.002097846707329154,0.0,0.8291230797767639,27.6074975680813,0.001734803314320743,0.2304964493960142,8.479926403611898,2.766340732574463
30,geometry_only_reconstruction,-0.592058002948761,0.1819702386856079,0.8180297613143921,0.24548566341400146,0.0021606949158012867,0.0,0.8294374346733093,27.459557313273045,0.0017949165776371956,0.23856861889362335,8.770729683339596,2.766340732574463
31,geometry_only_reconstruction,-0.6789232492446899,0.19054150581359863,0.8094584941864014,0.24525433778762817,0.002201996510848403,0.0,0.8293349146842957,27.374886670051474,0.0018302538665011525,0.23742294311523438,9.06559056788683,2.766340732574463
32,geometry_only_reconstruction,-0.6559304594993591,0.188709557056427,0.811290442943573,0.24618804454803467,0.002248761709779501,0.0,0.8290022015571594,27.291155901298715,0.0018658830085769296,0.23087372817099094,9.352821104228497,2.766340732574463
33,geometry_only_reconstruction,-0.6757196187973022,0.19143569469451904,0.808564305305481,0.2476816177368164,0.00229253014549613,0.0,0.8273218274116516,27.200718569214043,0.0019051454728469253,0.23835359700024128,9.63684611581266,2.766340732574463
34,geometry_only_reconstruction,-0.7755943536758423,0.20180833339691162,0.7981916666030884,0.2484511137008667,0.0023339814506471157,0.0,0.8261153101921082,27.115562894132754,0.0019428698578849435,0.23936808854341507,9.922334253787994,2.766340732574463
35,geometry_only_reconstruction,-0.847201943397522,0.2103637456893921,0.7896362543106079,0.2512401342391968,0.002348165260627866,0.0,0.8245670795440674,27.090068321778066,0.0019543087109923363,0.23727083392441273,10.216839578002691,2.766340732574463
36,geometry_only_reconstruction,-0.8362459540367126,0.21042078733444214,0.7895792126655579,0.25354623794555664,0.0023087109439074993,0.0,0.8231944441795349,27.175733505842068,0.0019161374075338244,0.2546379566192627,10.532601479440928,2.766340732574463
