mode,comparison,left_stage,right_stage,left_edit_path,right_edit_path,edit_ssim,edit_psnr,edit_mse,edit_l2,arcface_edit_cosine_similarity
baseline_control,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/vae_reconstruction_edit.png,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9840707182884216
baseline_control,neutral_geometry_resampling_on_original,clean_edit,neutral_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/neutral_geometry_on_original_edit.png,0.9848228096961975,42.36396792260726,5.8023404562845826e-05,0.0076173095357117936,0.992809534072876
baseline_control,neutral_geometry_resampling_after_reconstruction,vae_reconstruction,neutral_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/neutral_geometry_on_reconstruction_edit.png,0.9995512962341309,59.8397423007347,1.0375899819337064e-06,0.0010186216088095257,0.9999081492424011
combined,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction_edit.png,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9840707182884216
combined,delta_increment_after_reconstruction,vae_reconstruction,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_delta_only_edit.png,0.813251256942749,25.987417922040947,0.0025191742461174726,0.050191376212627134,-0.23658329248428345
combined,geometry_on_original_effect,clean_edit,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_geometry_on_original_edit.png,0.9389491677284241,34.235565511547385,0.0003770886396523565,0.019418770291971543,0.9796473979949951
combined,geometry_on_reconstruction_effect,vae_reconstruction,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_geometry_on_reconstruction_edit.png,0.9750266671180725,37.25800960474392,0.00018801783153321594,0.013711959434494252,0.989829421043396
combined,geometry_increment_after_delta,learned_delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_combined_edit.png,0.9795385003089905,37.36071320254271,0.00018362367700319737,0.013550781416700564,0.9917724132537842
combined,order_effect,learned_combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_combined_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/geometry_then_vae_reconstruction_edit.png,0.8210551142692566,26.232041314383657,0.0023811999708414078,0.048797540622877784,-0.24209509789943695
geometry_only_original,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/vae_reconstruction_edit.png,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9840707182884216
geometry_only_original,delta_increment_after_reconstruction,vae_reconstruction,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_delta_only_edit.png,1.0,inf,0.0,0.0,1.0000001192092896
geometry_only_original,geometry_on_original_effect,clean_edit,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_geometry_on_original_edit.png,0.7222365736961365,22.14530057668293,0.006101968232542276,0.07811509606050726,0.40217193961143494
geometry_only_original,geometry_on_reconstruction_effect,vae_reconstruction,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_geometry_on_reconstruction_edit.png,0.7340918183326721,22.077834942052665,0.006197499576956034,0.07872419943674266,0.3707563579082489
geometry_only_original,geometry_increment_after_delta,learned_delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_combined_edit.png,0.7340918183326721,22.077834942052665,0.006197499576956034,0.07872419943674266,0.3707563579082489
