mode,stage,stage_path,edit_path,edit_reused_from,input_ssim,input_psnr,input_mse,input_l2,output_ssim,output_psnr,output_mse,output_l2,arcface_original_vs_stage,arcface_clean_edit_vs_stage_edit,arcface_original_vs_clean_edit,arcface_stage_vs_stage_edit
combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/geometry_then_vae_reconstruction_edit.png,,0.8554133772850037,31.097339820119743,0.0007767227361910045,0.02786974589390805,0.9081923365592957,31.98833899938863,0.0006326537695713341,0.02515260959764084,0.9488204717636108,0.9500819444656372,0.8755786418914795,0.8858729004859924
combined,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_combined_edit.png,,0.8203288912773132,27.414650824915885,0.0018135724822059274,0.042586059716836065,0.8089948296546936,25.81499967103575,0.0026211992371827364,0.051197648746624455,-0.7136492729187012,-0.30596473813056946,0.8755786418914795,0.8102807402610779
combined,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_delta_only_edit.png,,0.8121597170829773,27.464343939060324,0.001792939379811287,0.042343114904448004,0.8082716464996338,25.834148836490503,0.0026096671354025602,0.05108490124687098,-0.7021352648735046,-0.28252851963043213,0.8755786418914795,0.8037405014038086
combined,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_geometry_on_original_edit.png,,0.9831491112709045,39.31150809300503,0.00011717883899109438,0.01082491750504799,0.9389491677284241,34.235565511547385,0.0003770886396523565,0.019418770291971543,0.99288010597229,0.9796473979949951,0.8755786418914795,0.8812891244888306
combined,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_geometry_on_reconstruction_edit.png,,0.8525869250297546,31.03516962059939,0.000787921657320112,0.028069942239344062,0.9374502301216125,33.622576227330015,0.00043425254989415407,0.020838727165884054,0.9374507665634155,0.9739847183227539,0.8755786418914795,0.8816824555397034
combined,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction_edit.png,,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9418524503707886,0.9840707182884216,0.8755786418914795,0.8779171705245972
geometry_only_original,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/geometry_then_vae_reconstruction_edit.png,,0.7619881629943848,23.820449477362725,0.004149110987782478,0.06441359319105307,0.7094476819038391,22.059534937144093,0.006223669275641441,0.07889023561659225,0.4252384305000305,0.3831137716770172,0.8755786418914795,0.9182828664779663
geometry_only_original,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_combined_edit.png,,0.7583039402961731,23.75252446343154,0.004214514512568712,0.06491929229873591,0.7363172173500061,22.23559979965231,0.005976404994726181,0.0773072117898853,0.41899052262306213,0.3682675361633301,0.8755786418914795,0.899533212184906
geometry_only_original,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction_edit.png,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9418524503707886,0.9840707182884216,0.8755786418914795,0.8779171705245972
geometry_only_original,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_geometry_on_original_edit.png,,0.7946718335151672,24.068583531967253,0.0039186966605484486,0.06259949409179318,0.7222365736961365,22.14530057668293,0.006101968232542276,0.07811509606050726,0.407063364982605,0.40217193961143494,0.8755786418914795,0.9319878816604614
geometry_only_original,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_geometry_on_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_combined_edit.png,0.7583039402961731,23.75252446343154,0.004214514512568712,0.06491929229873591,0.7363172173500061,22.23559979965231,0.005976404994726181,0.0773072117898853,0.41899052262306213,0.3682675361633301,0.8755786418914795,0.899533212184906
geometry_only_original,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction_edit.png,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9418524503707886,0.9840707182884216,0.8755786418914795,0.8779171705245972
geometry_only_reconstruction,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/geometry_then_vae_reconstruction_edit.png,,0.8302847743034363,26.93678936948858,0.002024515299126506,0.044994614112430234,0.8050191402435303,25.56774591323101,0.0027747598942369223,0.05267598973191602,0.7921410799026489,0.8336231708526611,0.8755786418914795,0.866921603679657
geometry_only_reconstruction,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/learned_combined_edit.png,,0.824792206287384,26.871693183634925,0.00205508922226727,0.04533309191161872,0.8436696529388428,26.048259696869877,0.0024841283448040485,0.04984103073577079,0.747893214225769,0.8503198027610779,0.8755786418914795,0.8660014867782593
geometry_only_reconstruction,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction_edit.png,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9418524503707886,0.9840707182884216,0.8755786418914795,0.8779171705245972
geometry_only_reconstruction,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_original_edit.png,,0.8855598568916321,27.627334266882436,0.001726897549815476,0.04155595685116005,0.8212111592292786,25.640371039079106,0.0027287446428090334,0.05223738740412879,0.7924737334251404,0.863918662071228,0.8755786418914795,0.8928778171539307
geometry_only_reconstruction,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/learned_combined_edit.png,0.824792206287384,26.871693183634925,0.00205508922226727,0.04533309191161872,0.8436696529388428,26.048259696869877,0.0024841283448040485,0.04984103073577079,0.747893214225769,0.8503198027610779,0.8755786418914795,0.8660014867782593
geometry_only_reconstruction,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction_edit.png,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9418524503707886,0.9840707182884216,0.8755786418914795,0.8779171705245972
baseline,neutral_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/neutral_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/neutral_geometry_on_original_edit.png,,0.9981415271759033,51.05810622252683,7.837713383196387e-06,0.0027995916457934336,0.9848228096961975,42.36396792260726,5.8023404562845826e-05,0.0076173095357117936,0.9994200468063354,0.992809534072876,0.8755786418914795,0.8722827434539795
baseline,neutral_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/neutral_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/neutral_geometry_on_reconstruction_edit.png,,0.8401932120323181,30.935161484796268,0.0008062762208282948,0.02839500344828813,0.9491710066795349,34.685800859886335,0.00033995381090790033,0.018437836394433603,0.9418985843658447,0.9842684268951416,0.8755786418914795,0.8782774209976196
baseline,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction_edit.png,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9418524503707886,0.9840707182884216,0.8755786418914795,0.8779171705245972
