mode,stage,stage_path,edit_path,edit_reused_from,input_ssim,input_psnr,input_mse,input_l2,output_ssim,output_psnr,output_mse,output_l2,arcface_original_vs_stage,arcface_clean_edit_vs_stage_edit,arcface_original_vs_clean_edit,arcface_stage_vs_stage_edit
combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/geometry_then_vae_reconstruction_edit.png,,0.842464029788971,30.99035134148757,0.0007960949442349374,0.028215154513752665,0.9473864436149597,34.622741454892605,0.0003449259384069592,0.018572181842932703,0.9417869448661804,0.9835051894187927,0.8755786418914795,0.8800756931304932
combined,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_combined_edit.png,,0.8208432197570801,27.372953987962582,0.0018310685409232974,0.04279098667854362,0.7928254008293152,24.729809751946313,0.003365263110026717,0.05801088785759719,-0.9474395513534546,-0.40403562784194946,0.8755786418914795,0.6425982713699341
combined,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_delta_only_edit.png,,0.8193404674530029,27.36596010958051,0.0018340196693316102,0.042825455856670226,0.7915242314338684,24.702891342902028,0.003386186435818672,0.05819094805739697,-0.9457153081893921,-0.3998284339904785,0.8755786418914795,0.6424541473388672
combined,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_geometry_on_original_edit.png,,0.9975429177284241,50.527113702256095,8.857040484144818e-06,0.002976078037307627,0.9833464026451111,41.902314141735026,6.45310283289291e-05,0.008033120709221858,0.9987014532089233,0.9927248358726501,0.8755786418914795,0.8757225275039673
combined,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_geometry_on_reconstruction_edit.png,,0.842214822769165,30.976289923299145,0.0007986766868270934,0.02826086847262648,0.9493730664253235,34.73986431566467,0.0003357481036800891,0.018323430456115175,0.9387218356132507,0.9856679439544678,0.8755786418914795,0.8723002672195435
combined,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/vae_reconstruction_edit.png,,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9418524503707886,0.9840707182884216,0.8755786418914795,0.8779171705245972
geometry_only_original,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_original/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_original/geometry_then_vae_reconstruction_edit.png,,0.8341988921165466,29.53256347800567,0.0011136370012536645,0.03337120017700389,0.8570113182067871,27.25261144212501,0.0018825167790055275,0.04338797966033366,0.8864638209342957,0.8971034288406372,0.8755786418914795,0.8598681688308716
geometry_only_original,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_original/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_original/learned_combined_edit.png,,0.8331447243690491,29.580222895703187,0.0011014827759936452,0.03318859406473322,0.9084806442260742,30.322736237532368,0.0009283812833018601,0.030469349899560707,0.8844362497329712,0.9285932183265686,0.8755786418914795,0.8152451515197754
geometry_only_original,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_original/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/vae_reconstruction_edit.png,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9418524503707886,0.9840707182884216,0.8755786418914795,0.8779171705245972
geometry_only_original,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_original/learned_geometry_on_original_edit.png,,0.9295854568481445,32.392463637866776,0.0005764393717981875,0.024009151834210794,0.8957108855247498,30.087525612819583,0.000980048207566142,0.03130572164263495,0.8012552261352539,0.9258818626403809,0.8755786418914795,0.788811206817627
