iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,combined,0.264972984790802,0.059276461601257324,0.9407235383987427,0.17153024673461914,0.0008636002312414348,0.0,0.8239546418190002,30.63690030893671,0.000863594701513648,0.46051902137696743,0.4607764910906553,6.4531168937683105
1,combined,-0.4711693525314331,0.22415447235107422,0.7758455276489258,0.35402077436447144,0.0027134770061820745,9.999613394029438e-05,0.7501735091209412,26.445146205826795,0.002267176751047373,0.3781275972723961,1.8902321308851242,6.5053486824035645
2,combined,-1.48086416721344,0.3215315341949463,0.6784684658050537,0.34683847427368164,0.0025857281871140003,0.00026216896367259324,0.7553295493125916,26.675598792468527,0.0021500082220882177,0.6248897109180689,2.564897270873189,6.506453037261963
3,combined,-2.1287949085235596,0.4025037884712219,0.5974962115287781,0.37918031215667725,0.0034077847376465797,0.0004806382639799267,0.7296139597892761,25.29089530781619,0.002957402728497982,0.6364146955311298,3.245193898677826,6.506453037261963
4,combined,-3.116671085357666,0.4986133575439453,0.5013866424560547,0.37382686138153076,0.003273868467658758,0.0007439086912199855,0.7334935069084167,25.4844124286062,0.0028285167645663023,0.642844695597887,3.967538058757782,6.506453037261963
5,combined,-4.012497901916504,0.5735002756118774,0.42649972438812256,0.34444886445999146,0.002592600416392088,0.0010526941623538733,0.7559788823127747,26.64615255182872,0.002164635341614485,0.6558217704296112,4.671505227684975,6.506453037261963
6,combined,-4.665872097015381,0.6381366848945618,0.36186331510543823,0.34304696321487427,0.002582329325377941,0.001398645923472941,0.7568560242652893,26.667441404216063,0.0021540503948926926,0.628064064309001,5.336702497676015,6.506453037261963
7,combined,-5.116868019104004,0.69281005859375,0.30718994140625,0.36218541860580444,0.0030323003884404898,0.0017788358964025974,0.7418584227561951,25.869012788307423,0.0025888013187795877,0.6240538246929646,5.997137166559696,6.507429599761963
8,combined,-5.654825687408447,0.7450113296508789,0.2549886703491211,0.3589972257614136,0.0029918397776782513,0.0021899291314184666,0.7438113689422607,25.933912479740155,0.002550402656197548,0.6094684042036533,6.642769735306501,6.507429599761963
9,combined,-6.218255519866943,0.7913541197776794,0.20864588022232056,0.3390049934387207,0.002577792853116989,0.002624823246151209,0.7589805126190186,26.669899553069754,0.0021528315264731646,0.6397041939198971,7.327895607799292,6.507429599761963
10,combined,-6.6764373779296875,0.8215173482894897,0.17848265171051025,0.3077045679092407,0.002109142253175378,0.003081352449953556,0.7770063281059265,27.614720125585688,0.0017319206381216645,0.6392824817448854,8.021688379347324,6.507429599761963
11,combined,-7.1376729011535645,0.8578141927719116,0.14218580722808838,0.2880557179450989,0.0018724965630099177,0.003556855022907257,0.7870357632637024,28.158893536272966,0.0015279552899301052,0.6358931418508291,8.696894293650985,6.507429599761963
12,combined,-7.572514533996582,0.8889899253845215,0.11101007461547852,0.2634434700012207,0.0016348834615200758,0.004049219191074371,0.7993884682655334,28.750399960615347,0.0013333986280485988,0.6517754998058081,9.387608170509338,6.507429599761963
13,combined,-8.055002212524414,0.9113475680351257,0.08865243196487427,0.21166765689849854,0.0013081616489216685,0.004554832354187965,0.8175976872444153,29.45960803835149,0.0011325025698170066,0.6072242055088282,10.029350919649005,6.507429599761963
14,combined,-8.336877822875977,0.9447921514511108,0.05520784854888916,0.22218066453933716,0.0013607207220047712,0.005065111443400383,0.8150519728660583,29.338708331053574,0.0011644723126664758,0.6360698379576206,10.723409781232476,6.507429599761963
15,combined,-8.686391830444336,0.9833452105522156,0.016654789447784424,0.22938215732574463,0.0014364204835146666,0.005580099765211344,0.8123435378074646,29.140826244026094,0.00121875770855695,0.6110404469072819,11.389668779447675,6.507429599761963
16,combined,-9.030975341796875,1.0212647914886475,-0.02126479148864746,0.23630231618881226,0.0015592200215905905,0.006098777521401644,0.8083024024963379,28.814533897079283,0.0013138524955138564,0.6305920053273439,12.07226262241602,6.507429599761963
17,combined,-9.37153148651123,1.056168556213379,-0.056168556213378906,0.2379974126815796,0.0016034364234656096,0.006619915831834078,0.8065430521965027,28.680292653176163,0.001355098094791174,0.6449097115546465,12.754231866449118,6.507429599761963
18,combined,-9.752473831176758,1.0898782014846802,-0.08987820148468018,0.2292291522026062,0.0015536396531388164,0.007141259498894215,0.8078375458717346,28.727597090528047,0.0013404181227087975,0.6256334576755762,13.418336495757103,6.507429599761963
19,combined,-10.126954078674316,1.1223057508468628,-0.12230575084686279,0.21918898820877075,0.0015151564730331302,0.007662368007004261,0.8090755343437195,28.733742381741294,0.0013385227648541331,0.6310486700385809,14.08880982734263,6.507429599761963
