iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,combined,0.26366347074508667,0.05940741300582886,0.9405925869941711,0.17153024673461914,0.0008636002312414348,0.0,0.8239547610282898,30.636905870647073,0.0008635935955680907,0.5010683219879866,0.5012148264795542,6.478504180908203
1,combined,-1.3725730180740356,0.22338157892227173,0.7766184210777283,0.17223107814788818,0.0008711697300896049,9.99907570076175e-05,0.8287321925163269,30.777564293171995,0.0008360717911273241,0.37441292218863964,1.9509657304733992,6.524876594543457
2,combined,-2.358112335205078,0.3224273920059204,0.6775726079940796,0.17321455478668213,0.0008839591173455119,0.00026833725860342383,0.8296864032745361,30.765458154110288,0.0008384056272916496,0.6370664183050394,2.628838809207082,6.533565521240234
3,combined,-3.256467580795288,0.41269195079803467,0.5873080492019653,0.17407238483428955,0.0008983492152765393,0.0004874579608440399,0.8293666243553162,30.689552386526486,0.0008531880448572338,0.6501237843185663,3.323431573808193,6.533565521240234
4,combined,-4.104243278503418,0.49800705909729004,0.50199294090271,0.17514699697494507,0.0009163852082565427,0.0007496180478483438,0.8288886547088623,30.60743562436224,0.0008694736752659082,0.6538648046553135,4.020864127203822,6.533565521240234
5,combined,-4.880216121673584,0.5762632489204407,0.4237367510795593,0.17646431922912598,0.0009380554547533393,0.0010559824295341969,0.8278096318244934,30.502419121012583,0.0008907546289265156,0.6490936875343323,4.70603066124022,6.533565521240234
6,combined,-5.565311908721924,0.6455124020576477,0.3544875979423523,0.17794287204742432,0.0009634406887926161,0.0014017490902915597,0.8264099955558777,30.38000777068181,0.000916218850761652,0.621943911537528,5.402290865778923,6.533565521240234
7,combined,-6.206119060516357,0.7103759050369263,0.28962409496307373,0.17950773239135742,0.0009914396796375513,0.0017799593042582273,0.8249345421791077,30.25229898715605,0.0009435612591914833,0.6240844838321209,6.073951689526439,6.533565521240234
8,combined,-6.812281608581543,0.7718126773834229,0.22818732261657715,0.18114811182022095,0.0010216415394097567,0.002186807570978999,0.8232833743095398,30.11545224495133,0.0009737663785926998,0.6231203339993954,6.74630942940712,6.533565521240234
9,combined,-7.340301036834717,0.8254228830337524,0.17457711696624756,0.1827639937400818,0.0010535144247114658,0.002619715640321374,0.821551501750946,29.971465476698356,0.0010065919486805797,0.6188068613409996,7.416601428762078,6.533565521240234
10,combined,-7.832155704498291,0.8753845691680908,0.12461543083190918,0.18431556224822998,0.001086503965780139,0.0030702720396220684,0.8198685050010681,29.828050481327413,0.0010403870837762952,0.6236009132117033,8.094169398769736,6.533565521240234
11,combined,-8.256662368774414,0.9186077117919922,0.08139228820800781,0.18585962057113647,0.0011208060896024108,0.0035362993367016315,0.8182615637779236,29.687121257173015,0.0010747015476226807,0.6290582735091448,8.770670220255852,6.533565521240234
12,combined,-8.637575149536133,0.9574694037437439,0.042530596256256104,0.18739986419677734,0.0011562393046915531,0.004012763500213623,0.8166427612304688,29.54626210452661,0.0011101298732683063,0.630422929301858,9.451334642246366,6.533565521240234
13,combined,-9.018715858459473,0.9963120818138123,0.003687918186187744,0.1888561248779297,0.0011918802047148347,0.004496023058891296,0.8150654435157776,29.40859415630595,0.0011458838125690818,0.6413036808371544,10.139139326289296,6.533565521240234
14,combined,-9.380485534667969,1.0331791639328003,-0.03317916393280029,0.19023561477661133,0.0012275864137336612,0.0049841622821986675,0.8135245442390442,29.27385333172735,0.0011819923529401422,0.6413866225630045,10.828003162518144,6.534542083740234
15,combined,-9.745658874511719,1.0703648328781128,-0.07036483287811279,0.1915716528892517,0.001263221143744886,0.005474764853715897,0.8120114803314209,29.142827462013514,0.0012181962374597788,0.668620428070426,11.569184198975563,6.534542083740234
16,combined,-10.096108436584473,1.106080174446106,-0.10608017444610596,0.1929115653038025,0.001298967283219099,0.0059677110984921455,0.8104915618896484,29.01485526378544,0.0012546265497803688,0.6723112668842077,12.287142504006624,6.534542083740234
17,combined,-10.435185432434082,1.1406478881835938,-0.14064788818359375,0.19423073530197144,0.0013348354259505868,0.006461304612457752,0.8090323805809021,28.89099235840423,0.001290924265049398,0.6357159167528152,12.970090752467513,6.535457611083984
18,combined,-10.755020141601562,1.1732841730117798,-0.17328417301177979,0.1955355405807495,0.0013710048515349627,0.006956763565540314,0.8076505064964294,28.77074376918963,0.0013271671487018466,0.6607396677136421,13.685685209929943,6.535579681396484
19,combined,-11.051470756530762,1.203560709953308,-0.2035607099533081,0.19679749011993408,0.0014071663608774543,0.00745073426514864,0.8063709139823914,28.65418609218412,0.0013632684713229537,0.6589178498834372,14.388655075803399,6.535579681396484
