mode,comparison,left_stage,right_stage,left_edit_path,right_edit_path,edit_ssim,edit_psnr,edit_mse,edit_l2,arcface_edit_cosine_similarity
baseline_control,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/vae_reconstruction_edit.png,0.8892146944999695,18.648265747324512,0.013651281595230103,0.11683869904800422,0.8325568437576294
baseline_control,neutral_geometry_resampling_on_original,clean_edit,neutral_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/neutral_geometry_on_original_edit.png,0.987743079662323,42.34127209670654,5.8327423175796866e-05,0.007637239237826511,0.9937304258346558
baseline_control,neutral_geometry_resampling_after_reconstruction,vae_reconstruction,neutral_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/neutral_geometry_on_reconstruction_edit.png,0.9991728663444519,55.53253735892045,2.797346496663522e-06,0.0016725269793529556,0.9998008012771606
geometry_only_original,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/vae_reconstruction_edit.png,0.8892146944999695,18.648265747324512,0.013651281595230103,0.11683869904800422,0.8325568437576294
geometry_only_original,delta_increment_after_reconstruction,vae_reconstruction,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/learned_delta_only_edit.png,1.0,inf,0.0,0.0,1.0
geometry_only_original,geometry_on_original_effect,clean_edit,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/learned_geometry_on_original_edit.png,0.9514756202697754,32.682909282776436,0.0005391493323259056,0.023219589409072365,0.9906087517738342
geometry_only_original,geometry_on_reconstruction_effect,vae_reconstruction,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/learned_geometry_on_reconstruction_edit.png,0.9876896739006042,37.61686153463801,0.00017310668772552162,0.013157001471669812,0.9962203502655029
geometry_only_original,geometry_increment_after_delta,learned_delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/learned_combined_edit.png,0.9876896739006042,37.61686153463801,0.00017310668772552162,0.013157001471669812,0.9962203502655029
geometry_only_original,order_effect,learned_combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/learned_combined_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/geometry_then_vae_reconstruction_edit.png,0.9044783115386963,18.67206720418532,0.013576670549809933,0.1165189707721877,0.8162064552307129
geometry_only_reconstruction,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_reconstruction/vae_reconstruction_edit.png,0.8892146944999695,18.648265747324512,0.013651281595230103,0.11683869904800422,0.8325568437576294
