iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,geometry_only_reconstruction,0.2641361355781555,0.05936014652252197,0.940639853477478,0.17153024673461914,0.0008636002312414348,0.0,0.823954164981842,30.636886551052193,0.000863597437273711,0.195019768550992,0.19509733654558659,0.7513570785522461
1,geometry_only_reconstruction,0.2619004249572754,0.059606850147247314,0.9403931498527527,0.17157649993896484,0.0008642346365377307,0.0,0.824467658996582,30.654201482790096,0.0008601612062193453,0.2393604964017868,0.4670747369527817,0.7513766288757324
2,geometry_only_reconstruction,0.258843332529068,0.0599287748336792,0.9400712251663208,0.17160892486572266,0.000864595000166446,0.0,0.8246843218803406,30.66267259156635,0.0008584850584156811,0.20548579283058643,0.6976382397115231,0.7513766288757324
3,geometry_only_reconstruction,0.25559431314468384,0.06027179956436157,0.9397282004356384,0.1716451644897461,0.0008649237570352852,0.0,0.8248968720436096,30.671197431081673,0.0008568015764467418,0.22176092490553856,0.945808744058013,0.7513766288757324
4,geometry_only_reconstruction,0.2537764310836792,0.06048530340194702,0.939514696598053,0.1717085838317871,0.0008655472774989903,0.0,0.8251013159751892,30.68077147562927,0.0008549148333258927,0.2564597353339195,1.2401497326791286,0.7513766288757324
5,geometry_only_reconstruction,0.25097838044166565,0.06080591678619385,0.9391940832138062,0.17179018259048462,0.0008664401830174029,0.0,0.8252378106117249,30.68835493998811,0.000853423320222646,0.1966007798910141,1.4708629623055458,0.7513766288757324
6,geometry_only_reconstruction,0.25053712725639343,0.06090056896209717,0.9390994310379028,0.1718912124633789,0.0008675507851876318,0.0,0.825359046459198,30.694671176944787,0.0008521830313839018,0.28129025734961033,1.7839456647634506,0.7513766288757324
7,geometry_only_reconstruction,0.24738803505897522,0.061272621154785156,0.9387273788452148,0.17200547456741333,0.0008687510271556675,0.0,0.8254820704460144,30.700234983381925,0.0008510919869877398,0.21701952442526817,2.059399090707302,0.7513766288757324
8,geometry_only_reconstruction,0.24399667978286743,0.061681509017944336,0.9383184909820557,0.17214494943618774,0.0008701739134266973,0.0,0.8255994319915771,30.705097571136758,0.0008501395932398736,0.2175466436892748,2.3103079851716757,0.7513766288757324
9,geometry_only_reconstruction,0.24320024251937866,0.06185126304626465,0.9381487369537354,0.17232513427734375,0.0008719602483324707,0.0,0.8257167935371399,30.70919317828686,0.0008493382483720779,0.2117376308888197,2.55846263282001,0.7513766288757324
10,geometry_only_reconstruction,0.23828306794166565,0.06245529651641846,0.9375447034835815,0.17254972457885742,0.0008741014753468335,0.0,0.8258374333381653,30.712378145830353,0.0008487156010232866,0.21286819875240326,2.8064741641283035,0.7513766288757324
11,geometry_only_reconstruction,0.2335459440946579,0.06306856870651245,0.9369314312934875,0.1728287935256958,0.0008766577811911702,0.0,0.8259686827659607,30.714443355185715,0.0008483121055178344,0.2007739059627056,3.041112683713436,0.7513766288757324
12,geometry_only_reconstruction,0.22730861604213715,0.06386089324951172,0.9361391067504883,0.1731659173965454,0.0008796899346634746,0.0,0.8261053562164307,30.715065016984973,0.0008481906843371689,0.22606752440333366,3.2942238952964544,0.7513766288757324
13,geometry_only_reconstruction,0.21906177699565887,0.0648883581161499,0.9351116418838501,0.1735714077949524,0.0008832635940052569,0.0,0.8262421488761902,30.713667445848607,0.0008484636782668531,0.26455430313944817,3.6054047271609306,0.7513766288757324
14,geometry_only_reconstruction,0.21339231729507446,0.06569957733154297,0.934300422668457,0.17405986785888672,0.0008874401682987809,0.0,0.8263728618621826,30.709523863190952,0.0008492735796608031,0.21340762823820114,3.845372296869755,0.7513766288757324
15,geometry_only_reconstruction,0.209429070353508,0.06637698411941528,0.9336230158805847,0.17462193965911865,0.000892136653419584,0.0,0.8264862895011902,30.702496797302455,0.0008506488520652056,0.2379665318876505,4.111404919996858,0.7513766288757324
16,geometry_only_reconstruction,0.20182524621486664,0.06746268272399902,0.932537317276001,0.17527246475219727,0.0008974726079031825,0.0,0.8265755772590637,30.692537070774783,0.0008526018937118351,0.2199980691075325,4.35963898897171,0.7513766288757324
17,geometry_only_reconstruction,0.19879822432994843,0.06813514232635498,0.931864857673645,0.176011860370636,0.0009034961694851518,0.0,0.8266229033470154,30.680442677033945,0.0008549795602448285,0.20384547673165798,4.596979334950447,0.7513766288757324
18,geometry_only_reconstruction,0.19413690268993378,0.06899893283843994,0.9310010671615601,0.17680704593658447,0.0009100717725232244,0.0,0.8266686797142029,30.66983307503705,0.0008570707868784666,0.20242859981954098,4.83245088160038,0.7513766288757324
19,geometry_only_reconstruction,0.19041530787944794,0.06978833675384521,0.9302116632461548,0.1776413917541504,0.0009171866695396602,0.0,0.8266465663909912,30.65761547340195,0.0008594852988608181,0.19987622648477554,5.063631780445576,0.7513766288757324
