mode,stage,stage_path,edit_path,edit_reused_from,input_ssim,input_psnr,input_mse,input_l2,output_ssim,output_psnr,output_mse,output_l2,arcface_original_vs_stage,arcface_clean_edit_vs_stage_edit,arcface_original_vs_clean_edit,arcface_stage_vs_stage_edit
geometry_only_original,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/geometry_then_vae_reconstruction_edit.png,,0.824788510799408,30.482554340859224,0.0008948383037932217,0.029913848027180015,0.8663718700408936,18.45379331173104,0.014276464469730854,0.119484159911391,0.9439579248428345,0.8362165093421936,0.6473087072372437,0.6053065061569214
geometry_only_original,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_combined_edit.png,,0.825293242931366,30.5074429456166,0.0008897248189896345,0.029828255379583207,0.8406453728675842,16.820312964011016,0.020795468240976334,0.14420633911508998,0.9441096782684326,0.7422716617584229,0.6473087072372437,0.4969501197338104
geometry_only_original,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_delta_only_edit.png,,0.8231146335601807,30.491206352076023,0.0008930573821999133,0.029884065690596942,0.8892146944999695,18.648265747324512,0.013651281595230103,0.11683869904800422,0.941228985786438,0.8325568437576294,0.6473087072372437,0.6270360946655273
geometry_only_original,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_geometry_on_original_edit.png,,0.9921383261680603,43.47652575577147,4.4910451833857223e-05,0.00670152608245743,0.964911162853241,35.340361403722014,0.00029239090508781374,0.017099441660119015,0.9970895051956177,0.9927470088005066,0.6473087072372437,0.6245827674865723
geometry_only_original,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_geometry_on_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_combined_edit.png,0.825293242931366,30.5074429456166,0.0008897248189896345,0.029828255379583207,0.8406453728675842,16.820312964011016,0.020795468240976334,0.14420633911508998,0.9441096782684326,0.7422716617584229,0.6473087072372437,0.4969501197338104
geometry_only_original,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_delta_only_edit.png,0.8231146335601807,30.491206352076023,0.0008930573821999133,0.029884065690596942,0.8892146944999695,18.648265747324512,0.013651281595230103,0.11683869904800422,0.941228985786438,0.8325568437576294,0.6473087072372437,0.6270360946655273
geometry_only_reconstruction,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/geometry_then_vae_reconstruction_edit.png,,0.8249854445457458,30.485153562131334,0.0008943029097281396,0.02990489775485179,0.9179901480674744,27.8581285265695,0.0016375220147892833,0.040466307155327175,0.9303789734840393,0.9825417399406433,0.6473087072372437,0.7180536389350891
geometry_only_reconstruction,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/learned_combined_edit.png,,0.8258439898490906,30.50781601716772,0.0008896483923308551,0.029826974240288857,0.5084184408187866,11.28461335279442,0.07439412921667099,0.2727528720594359,0.9307186603546143,0.3472978174686432,0.6473087072372437,0.2797439694404602
geometry_only_reconstruction,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_delta_only_edit.png,0.8231146335601807,30.491206352076023,0.0008930573821999133,0.029884065690596942,0.8892146944999695,18.648265747324512,0.013651281595230103,0.11683869904800422,0.941228985786438,0.8325568437576294,0.6473087072372437,0.6270360946655273
geometry_only_reconstruction,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/learned_geometry_on_original_edit.png,,0.9897214770317078,42.23263990654956,5.980479545542039e-05,0.007733356027975201,0.9604180455207825,34.81587367542982,0.0003299230302218348,0.01816378347761927,0.9993557929992676,0.9944332838058472,0.6473087072372437,0.6370112895965576
geometry_only_reconstruction,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/learned_combined_edit.png,0.8258439898490906,30.50781601716772,0.0008896483923308551,0.029826974240288857,0.5084184408187866,11.28461335279442,0.07439412921667099,0.2727528720594359,0.9307186603546143,0.3472978174686432,0.6473087072372437,0.2797439694404602
geometry_only_reconstruction,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/geometry_only_original/learned_delta_only_edit.png,0.8231146335601807,30.491206352076023,0.0008930573821999133,0.029884065690596942,0.8892146944999695,18.648265747324512,0.013651281595230103,0.11683869904800422,0.941228985786438,0.8325568437576294,0.6473087072372437,0.6270360946655273
baseline,neutral_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/neutral_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_rolling/neutral_geometry_on_original_edit.png,,0.999047040939331,55.88756921120759,2.577763552835677e-06,0.0016055415138935764,0.9877519011497498,42.33267080323423,5.8443056332180277e-05,0.007644805840057697,0.9996280670166016,0.9938786029815674,0.6473087072372437,0.6352799534797668
