iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,combined,0.18652945756912231,0.057908058166503906,0.9420919418334961,0.15310657024383545,0.0007718309643678367,0.0,0.8418955206871033,31.124795709888243,0.0007718278211541474,0.5359456464648247,0.5361515320837498,6.4631266593933105
1,combined,-1.9535667896270752,0.2718409299850464,0.7281590700149536,0.1529529094696045,0.0007788960356265306,9.998549649026245e-05,0.8437229990959167,31.15859181909746,0.0007658448885194957,0.39041660726070404,1.896147770807147,6.5209736824035645
2,combined,-3.5371623039245605,0.4304332733154297,0.5695667266845703,0.15341824293136597,0.0007898951298557222,0.00027302384842187166,0.8442546725273132,31.128956610870144,0.0007710887002758682,0.6275551524013281,2.566127771511674,6.522074222564697
3,combined,-4.6027655601501465,0.5373753905296326,0.46262460947036743,0.15418148040771484,0.0008052972843870521,0.0005051601328887045,0.8438801765441895,31.061270805777724,0.0007832004339434206,0.6471151132136583,3.2528560403734446,6.522074222564697
4,combined,-5.507757186889648,0.6283388137817383,0.3716611862182617,0.15510952472686768,0.0008228513179346919,0.0007800442399457097,0.8435940742492676,30.98714885297462,0.0007966822013258934,0.6394475288689137,3.929901646450162,6.522074222564697
5,combined,-6.42341947555542,0.7204172015190125,0.27958279848098755,0.1561334729194641,0.0008420456433668733,0.0010889696422964334,0.8429944515228271,30.89674033828263,0.0008134408271871507,0.6481303498148918,4.622900428250432,6.522074222564697
6,combined,-7.406403064727783,0.8192698955535889,0.18073010444641113,0.15724170207977295,0.0008628732175566256,0.0014259032905101776,0.8422574996948242,30.797721103830554,0.0008322003413923085,0.6433105114847422,5.305857019498944,6.522074222564697
7,combined,-7.917715072631836,0.8709933161735535,0.12900668382644653,0.15842556953430176,0.0008846215205267072,0.0017824536189436913,0.8416205048561096,30.698901264423846,0.0008513533975929022,0.6275863796472549,5.972014103084803,6.522074222564697
8,combined,-8.278448104858398,0.9076481461524963,0.09235185384750366,0.15958821773529053,0.000906979781575501,0.0021529337391257286,0.8411304950714111,30.600543819150108,0.0008708545356057584,0.6351480763405561,6.652383813634515,6.522074222564697
9,combined,-8.695467948913574,0.9499183297157288,0.05008167028427124,0.16072404384613037,0.0009294494520872831,0.002534454455599189,0.8406898975372314,30.503924352370863,0.0008904459537006915,0.62796775624156,7.32567117549479,6.522074222564697
10,combined,-9.106924057006836,0.991618812084198,0.008381187915802002,0.16183316707611084,0.0009517831495031714,0.0029237614944577217,0.8402302861213684,30.408995514797912,0.0009101237519644201,0.630569513887167,8.003514282405376,6.522196292877197
11,combined,-9.46333122253418,1.0277854204177856,-0.027785420417785645,0.16288459300994873,0.0009741755784489214,0.003320967312902212,0.8397631049156189,30.3147870860003,0.0009300821111537516,0.6492583639919758,8.68962949514389,6.522196292877197
12,combined,-9.797143936157227,1.0616660118103027,-0.061666011810302734,0.16388243436813354,0.0009967767400667071,0.0037258504889905453,0.8392640948295593,30.219770776092503,0.0009506549686193466,0.6506263092160225,9.380992176011205,6.522196292877197
13,combined,-10.117999076843262,1.0942416191101074,-0.09424161911010742,0.16486215591430664,0.001019889721646905,0.004137749318033457,0.8387035727500916,30.122668450157654,0.0009721497190184891,0.6492480263113976,10.074001271277666,6.522196292877197
14,combined,-10.498397827148438,1.1327632665634155,-0.13276326656341553,0.16582530736923218,0.0010434741852805018,0.004554638173431158,0.8380715250968933,30.02484745282015,0.0009942949982360005,0.6511016692966223,10.764854047447443,6.522196292877197
15,combined,-10.868449211120605,1.1702377796173096,-0.17023777961730957,0.16676336526870728,0.0010675446828827262,0.004977559670805931,0.8372957706451416,29.925824388314616,0.0010172262554988265,0.6425678357481956,11.445580882951617,6.522196292877197
16,combined,-11.208803176879883,1.2047185897827148,-0.20471858978271484,0.16765373945236206,0.0010918105253949761,0.0054077282547950745,0.8363926410675049,29.827094219581607,0.0010406161891296506,0.6414967682212591,12.125444294884801,6.522196292877197
17,combined,-11.578485488891602,1.2421066761016846,-0.24210667610168457,0.16849267482757568,0.0011155660031363368,0.005839195102453232,0.8354771137237549,29.73160423211533,0.0010637500090524554,0.6817680634558201,12.845634190365672,6.522196292877197
18,combined,-11.917486190795898,1.2764190435409546,-0.2764190435409546,0.16931688785552979,0.001139126718044281,0.006273604929447174,0.8345940709114075,29.638510640894008,0.0010867982637137175,0.6506170127540827,13.534872991964221,6.522196292877197
19,combined,-12.205680847167969,1.305639386177063,-0.305639386177063,0.17011797428131104,0.0011625929037109017,0.006711163558065891,0.8337194323539734,29.545579014776106,0.0011103044962510467,0.6508006323128939,14.224504491314292,6.522196292877197
