iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,combined,0.18639236688613892,0.057921767234802246,0.9420782327651978,0.15310657024383545,0.0007718309643678367,0.0,0.8418955206871033,31.124801277811358,0.0007718268316239119,0.5441394113004208,0.5442633386701345,6.478504180908203
1,combined,-1.9711519479751587,0.27366960048675537,0.7263303995132446,0.15309321880340576,0.0007785316556692123,9.999241592595354e-05,0.8451265692710876,31.20741721474834,0.0007572831236757338,0.397096773609519,1.902069104835391,6.524876594543457
2,combined,-3.5147736072540283,0.42829352617263794,0.5717064738273621,0.15361648797988892,0.0007895251619629562,0.00027437781682237983,0.8454757332801819,31.163594802501517,0.0007649631588719785,0.6690876707434654,2.6131147872656584,6.533565521240234
3,combined,-4.588100433349609,0.5359325408935547,0.4640674591064453,0.15422886610031128,0.0008030577446334064,0.0005069421022199094,0.8448977470397949,31.072888254659567,0.0007811081595718861,0.6541597619652748,3.3143219873309135,6.533565521240234
4,combined,-5.496838569641113,0.627221941947937,0.372778058052063,0.1550595760345459,0.0008197169518098235,0.0007821821491234004,0.8442729115486145,30.98590391964369,0.0007969106081873178,0.6722059790045023,4.027041185647249,6.533565521240234
5,combined,-6.346800327301025,0.7127432227134705,0.28725677728652954,0.15610939264297485,0.0008392560994252563,0.0010954465251415968,0.8436450958251953,30.89326608140009,0.0008140918216668069,0.6549039166420698,4.724131399765611,6.533565521240234
6,combined,-7.260959625244141,0.8047422170639038,0.1952577829360962,0.15727496147155762,0.0008606966584920883,0.0014378828927874565,0.8431603312492371,30.7988454806199,0.0008319849148392677,0.6532909162342548,5.418924065306783,6.533565521240234
7,combined,-7.865492820739746,0.8658199310302734,0.13418006896972656,0.15852326154708862,0.0008835642947815359,0.001797642558813095,0.8426785469055176,30.706333254008037,0.0008498977404087782,0.6502247136086226,6.112012119963765,6.533565521240234
8,combined,-8.255779266357422,0.9054263234138489,0.09457367658615112,0.15967833995819092,0.00090615643421188,0.002168755978345871,0.8421606421470642,30.609922763401155,0.0008689758833497763,0.6519569605588913,6.807480501011014,6.533565521240234
9,combined,-8.649855613708496,0.9453684687614441,0.05463153123855591,0.16074681282043457,0.0009286809945479035,0.0025509123224765062,0.8415657877922058,30.509956754605874,0.0008892099722288549,0.655654888600111,7.5135582238435745,6.533565521240234
10,combined,-9.062174797058105,0.9871209859848022,0.012879014015197754,0.16178733110427856,0.0009515018318779767,0.0029450091533362865,0.8408887982368469,30.406919504524893,0.0009105589124374092,0.6330045200884342,8.18869161233306,6.533565521240234
11,combined,-9.44088077545166,1.0255242586135864,-0.025524258613586426,0.16285216808319092,0.0009749865857884288,0.00335121457464993,0.840172290802002,30.304030769925664,0.0009323885315097868,0.6314352117478848,8.8605941478163,6.533565521240234
12,combined,-9.80933666229248,1.0628776550292969,-0.06287765502929688,0.16386711597442627,0.0009983652271330357,0.0037672058679163456,0.8395043015480042,30.2050669735076,0.0009538790327496827,0.6300671231001616,9.540421156212687,6.533565521240234
13,combined,-10.183566093444824,1.1007704734802246,-0.10077047348022461,0.16480660438537598,0.0010214266367256641,0.004189940169453621,0.8388299942016602,30.108716878981525,0.000975277740508318,0.6523491945117712,10.233121152967215,6.533565521240234
14,combined,-10.548781394958496,1.1377239227294922,-0.1377239227294922,0.16566979885101318,0.001044052536599338,0.004618966020643711,0.8380671143531799,30.01240940213983,0.0009971467079594731,0.6393198482692242,10.914511850103736,6.534542083740234
15,combined,-10.916107177734375,1.1748604774475098,-0.17486047744750977,0.16647714376449585,0.001066350843757391,0.005051861517131329,0.8372294902801514,29.916327714178756,0.0010194530477747321,0.6567490473389626,11.611531987786293,6.534542083740234
16,combined,-11.251890182495117,1.2088212966918945,-0.20882129669189453,0.16724169254302979,0.0010885766241699457,0.005487390793859959,0.836355984210968,29.820565393578242,0.0010421817423775792,0.6688572503626347,12.319118177518249,6.534542083740234
17,combined,-11.527962684631348,1.2367889881134033,-0.23678898811340332,0.16796207427978516,0.001110635232180357,0.005922586657106876,0.8354100584983826,29.725128065379774,0.0010653374483808875,0.6425639726221561,13.004736771807075,6.535457611083984
18,combined,-11.816936492919922,1.2660291194915771,-0.26602911949157715,0.1686469316482544,0.0011321937199681997,0.006355123594403267,0.8345122933387756,29.63493607210662,0.0010876931482926011,0.6506514549255371,13.703120866790414,6.535579681396484
19,combined,-12.095614433288574,1.2942149639129639,-0.29421496391296387,0.16928279399871826,0.0011534499935805798,0.006786450743675232,0.8336502909660339,29.54795207481867,0.0011096979724243283,0.6294881477952003,14.378149958327413,6.535579681396484
