iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,geometry_only_original,-1.1920928955078125e-06,1.7881393432617188e-07,0.9999998211860657,1.1920928955078125e-07,2.356781219833848e-13,0.0,1.0000001192092896,126.27680681244121,2.356781490884391e-13,0.35702966898679733,0.35728210769593716,1.2443909645080566
1,geometry_only_original,-0.2456260323524475,0.05350309610366821,0.9464969038963318,0.0578654408454895,0.0007772278040647507,0.0,0.9421231150627136,31.09451671613289,0.0007772278040647507,0.23558827117085457,1.1626288667321205,1.477792739868164
2,geometry_only_original,-0.19648724794387817,0.058587491512298584,0.9414125084877014,0.07786089181900024,0.0008320643100887537,0.0,0.9220553040504456,30.798429843504426,0.0008320645429193974,0.2017394732683897,1.3974967878311872,1.4856109619140625
3,geometry_only_original,-0.46815353631973267,0.0965079665184021,0.9034920334815979,0.09936124086380005,0.001199239632114768,0.0,0.9004978537559509,29.210940696465393,0.0011992395156994462,0.23331659100949764,1.6651124600321054,1.4856109619140625
4,geometry_only_original,-0.6361746788024902,0.12499558925628662,0.8750044107437134,0.12271833419799805,0.0018953320104628801,0.0,0.8770713806152344,27.223146758110566,0.001895332126878202,0.20579134486615658,1.9069781340658665,1.4856109619140625
5,geometry_only_original,-0.7466363906860352,0.1382790207862854,0.8617209792137146,0.12719213962554932,0.0019310017814859748,0.0,0.8725533485412598,27.142171946403053,0.001931002363562584,0.20130937360227108,2.1399637516587973,1.4856109619140625
6,geometry_only_original,-0.8456853032112122,0.14492428302764893,0.8550757169723511,0.12067824602127075,0.0016629596939310431,0.0,0.8790664076805115,27.79118276887197,0.0016629596939310431,0.21720683202147484,2.3959817234426737,1.4856109619140625
7,geometry_only_original,-0.7471407651901245,0.13345760107040405,0.866542398929596,0.11745309829711914,0.0016973428428173065,0.0,0.8823163509368896,27.702304265655116,0.0016973428428173065,0.2013216745108366,2.6301516368985176,1.4856109619140625
8,geometry_only_original,-0.6736928224563599,0.1282292604446411,0.8717707395553589,0.12168294191360474,0.0018509502988308668,0.0,0.878122091293335,27.32605215322409,0.0018509504152461886,0.19898775406181812,2.862326867878437,1.4856109619140625
9,geometry_only_original,-0.83369380235672,0.14673781394958496,0.853262186050415,0.1266990303993225,0.0018920984584838152,0.0,0.8731173872947693,27.230563215537575,0.0018920982256531715,0.23921257257461548,3.13372896425426,1.4856109619140625
10,geometry_only_original,-1.3754345178604126,0.20403265953063965,0.7959673404693604,0.1329406499862671,0.001888200407847762,0.0,0.8668641448020935,27.23951886120289,0.001888200524263084,0.20113659836351871,3.3636599965393543,1.4856109619140625
11,geometry_only_original,-1.5915180444717407,0.23049813508987427,0.7695018649101257,0.14265328645706177,0.0019686976447701454,0.0,0.8571285605430603,27.058209782706477,0.0019686976447701454,0.22466421127319336,3.621146071702242,1.4856109619140625
12,geometry_only_original,-1.7873399257659912,0.25422775745391846,0.7457722425460815,0.15094566345214844,0.0020927530713379383,0.0,0.8488268256187439,26.792820603430336,0.0020927528385072947,0.22845697216689587,3.884859226644039,1.4856109619140625
13,geometry_only_original,-2.254065990447998,0.3043094277381897,0.6956905722618103,0.15775972604751587,0.0022962354123592377,0.0,0.8420071601867676,26.38983545649362,0.0022962356451898813,0.2757081054151058,4.226498240604997,1.4856109619140625
14,geometry_only_original,-2.6561920642852783,0.34693777561187744,0.6530622243881226,0.16258490085601807,0.0026100529357790947,0.0,0.8371825814247131,25.833506844304463,0.0026100529357790947,0.22630394622683525,4.519741177558899,1.4856109619140625
15,geometry_only_original,-2.989543914794922,0.38248974084854126,0.6175102591514587,0.16701173782348633,0.0029457591008394957,0.0,0.832745373249054,25.30802703251435,0.002945759566500783,0.23424405045807362,4.815662890672684,1.4856109619140625
16,geometry_only_original,-3.1418240070343018,0.4010974168777466,0.5989025831222534,0.17376196384429932,0.003401275258511305,0.0,0.825957715511322,24.683582795058395,0.0034012747928500175,0.2450410481542349,5.107802111655474,1.4856109619140625
17,geometry_only_original,-3.095109701156616,0.40031635761260986,0.5996836423873901,0.1815328598022461,0.0038929935544729233,0.0,0.8181297183036804,24.097163413053146,0.0038929933216422796,0.27846764400601387,5.419447088614106,1.4856109619140625
18,geometry_only_original,-3.204322338104248,0.41361570358276367,0.5863842964172363,0.1862817406654358,0.00426127016544342,0.0,0.813343346118927,23.704609305632683,0.00426127016544342,0.2946029119193554,5.775274448096752,1.4856109619140625
19,geometry_only_original,-3.6189374923706055,0.4571898579597473,0.5428101420402527,0.19050151109695435,0.004534878768026829,0.0,0.8090998530387878,23.434344523303302,0.004534877371042967,0.32897065579891205,6.14274350181222,1.4856109619140625
