mode,stage,stage_path,edit_path,edit_reused_from,input_ssim,input_psnr,input_mse,input_l2,output_ssim,output_psnr,output_mse,output_l2,arcface_original_vs_stage,arcface_clean_edit_vs_stage_edit,arcface_original_vs_clean_edit,arcface_stage_vs_stage_edit
geometry_only_original,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/geometry_then_vae_reconstruction_edit.png,,0.8485779762268066,31.00676616090817,0.0007930916617624462,0.028161883135941854,0.9322810173034668,33.35733603760107,0.0004616006335709244,0.021484893147766047,0.9363930225372314,0.9711395502090454,0.8755786418914795,0.8764336705207825
geometry_only_original,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/learned_combined_edit.png,,0.847052276134491,31.025090110536908,0.0007897524628788233,0.028102534812340742,0.946317195892334,34.23564025955388,0.00037708214949816465,0.019418603180923304,0.9265292882919312,0.9754617214202881,0.8755786418914795,0.8726602792739868
geometry_only_original,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/learned_delta_only_edit.png,,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9418524503707886,0.9840707182884216,0.8755786418914795,0.8779171705245972
geometry_only_original,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/learned_geometry_on_original_edit.png,,0.9935202598571777,42.21424776254707,6.005860268487595e-05,0.007749748556235612,0.9667261242866516,36.68556197430243,0.00021450815256685019,0.014646096837275458,0.9835797548294067,0.9839925765991211,0.8755786418914795,0.8784983158111572
geometry_only_original,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/learned_geometry_on_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/learned_combined_edit.png,0.847052276134491,31.025090110536908,0.0007897524628788233,0.028102534812340742,0.946317195892334,34.23564025955388,0.00037708214949816465,0.019418603180923304,0.9265292882919312,0.9754617214202881,0.8755786418914795,0.8726602792739868
geometry_only_original,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/learned_delta_only_edit.png,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9418524503707886,0.9840707182884216,0.8755786418914795,0.8779171705245972
geometry_only_reconstruction,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_reconstruction/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_reconstruction/geometry_then_vae_reconstruction_edit.png,,0.8470022678375244,31.044917244995787,0.0007861551712267101,0.028038458788362638,0.9382637143135071,33.911732963698796,0.00040628117858432233,0.02015641780139324,0.9254441261291504,0.977759599685669,0.8755786418914795,0.8820037841796875
geometry_only_reconstruction,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_reconstruction/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_reconstruction/learned_combined_edit.png,,0.8454652428627014,31.02968007948537,0.0007889182306826115,0.028087688240270175,0.9466956257820129,34.421433198745255,0.00036129061481915414,0.019007646219854634,0.9291113615036011,0.9812946319580078,0.8755786418914795,0.8770960569381714
geometry_only_reconstruction,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_reconstruction/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_reconstruction/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_original/learned_delta_only_edit.png,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9418524503707886,0.9840707182884216,0.8755786418914795,0.8779171705245972
geometry_only_reconstruction,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_reconstruction/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image4_red_scarf/single_laplacian/geometry_only_reconstruction/learned_geometry_on_original_edit.png,,0.9954116344451904,45.15777593688861,3.0494562452076934e-05,0.005522188194192311,0.9720931053161621,38.264511523935525,0.00014912444748915732,0.012211652119560126,0.9915239810943604,0.9881423711776733,0.8755786418914795,0.8784261345863342
