iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,geometry_only_original,2.980232238769531e-07,1.1920928955078125e-07,0.9999998807907104,2.980232238769531e-07,3.935682346429409e-14,0.0,0.9999999403953552,134.04979923859452,3.935682685242588e-14,0.265269685536623,0.26533847488462925,1.0086770057678223
1,geometry_only_original,-4.756849193654489e-06,5.4836273193359375e-06,0.9999945163726807,1.0013580322265625e-05,1.1522592302526391e-07,0.0,0.9999678730964661,69.38449804243379,1.1522592302526391e-07,0.19822649098932743,0.5785530786961317,1.124925136566162
2,geometry_only_original,-0.00010310419020242989,1.6689300537109375e-05,0.9999833106994629,1.2755393981933594e-05,1.1842691804986316e-07,0.0,0.9999861717224121,69.26549572682117,1.1842691804986316e-07,0.21248736791312695,0.8190680146217346,1.1249876022338867
3,geometry_only_original,-0.0002482295676600188,3.641843795776367e-05,0.9999635815620422,2.3186206817626953e-05,2.3768033940996247e-07,0.0,0.9999741911888123,66.24006715060605,2.3768035362081719e-07,0.2299920041114092,1.0773653350770473,1.1249876022338867
4,geometry_only_original,-0.00044401330524124205,6.413459777832031e-05,0.9999358654022217,3.9458274841308594e-05,4.128469868192042e-07,0.0,0.9999590516090393,63.84210940569179,4.128469299757853e-07,0.2453598864376545,1.3469558507204056,1.1252927780151367
5,geometry_only_original,-0.0007449936820194125,0.00010526180267333984,0.9998947381973267,6.151199340820312e-05,6.43831242541637e-07,0.0,0.9999366402626038,61.91228029261089,6.438311288547993e-07,0.22353201732039452,1.5951789673417807,1.1252927780151367
6,geometry_only_original,-0.0011055718641728163,0.00015538930892944336,0.9998446106910706,8.96453857421875e-05,9.426464657735778e-07,0.0,0.9999070167541504,60.25651130227499,9.426465226169967e-07,0.22787789441645145,1.8472083415836096,1.1252927780151367
7,geometry_only_original,-0.0015400537522509694,0.00021600723266601562,0.999783992767334,0.0001239776611328125,1.3032235983700957e-06,0.0,0.9998723864555359,58.849809509009575,1.3032239394306089e-06,0.2262307796627283,2.0987315233796835,1.1252927780151367
8,geometry_only_original,-0.002080029109492898,0.00029021501541137695,0.9997097849845886,0.00016438961029052734,1.7303088952758117e-06,0.0,0.9998299479484558,57.61876388100153,1.730308781588974e-06,0.22653229907155037,2.3498840760439634,1.1252927780151367
9,geometry_only_original,-0.0027141724713146687,0.00037741661071777344,0.9996225833892822,0.00021195411682128906,2.2300926048046676e-06,0.0,0.9997816681861877,56.51677102458283,2.2300926048046676e-06,0.22630375251173973,2.6006801910698414,1.1253538131713867
10,geometry_only_original,-0.003439204767346382,0.00047773122787475586,0.9995222687721252,0.0002675652503967285,2.812939328578068e-06,0.0,0.9997244477272034,55.508396700023,2.8129391012043925e-06,0.2240932360291481,2.8495991434901953,1.1253538131713867
11,geometry_only_original,-0.004240226466208696,0.0005884766578674316,0.9994115233421326,0.0003288388252258301,3.4576332836877555e-06,0.0,0.9996609687805176,54.61221069858,3.4576332836877555e-06,0.23567743599414825,3.1092486549168825,1.1253538131713867
12,geometry_only_original,-0.0051917447708547115,0.0007172822952270508,0.999282717704773,0.0003961324691772461,4.1567172957002185e-06,0.0,0.9995913505554199,53.812495114794544,4.1567172957002185e-06,0.22352346032857895,3.3569213952869177,1.1253538131713867
13,geometry_only_original,-0.006238923408091068,0.0008588433265686035,0.9991411566734314,0.0004698038101196289,4.907776201434899e-06,0.0,0.9995153546333313,53.09115289914308,4.907775746687548e-06,0.2271943110972643,3.6084852386265993,1.1253538131713867
14,geometry_only_original,-0.007414840627461672,0.001017451286315918,0.9989825487136841,0.0005518198013305664,5.733489160775207e-06,0.0,0.9994319081306458,52.41581038639514,5.733488706027856e-06,0.22471515089273453,3.864956649020314,1.1253538131713867
15,geometry_only_original,-0.008662871085107327,0.0011878013610839844,0.998812198638916,0.0006428956985473633,6.642963398917345e-06,0.0,0.9993410706520081,51.77638110677022,6.642963853664696e-06,0.21258793585002422,4.103514416143298,1.1253538131713867
16,geometry_only_original,-0.010060501284897327,0.0013769268989562988,0.9986230731010437,0.0007416009902954102,7.6258720582700334e-06,0.0,0.9992416501045227,51.17710433504822,7.625872967764735e-06,0.19917841255664825,4.331769999116659,1.1253538131713867
17,geometry_only_original,-0.011544253677129745,0.0015780925750732422,0.9984219074249268,0.000847160816192627,8.682360203238204e-06,0.0,0.9991343021392822,50.6136215514719,8.682361112732906e-06,0.19803068600594997,4.559210294857621,1.1253538131713867
18,geometry_only_original,-0.013163896277546883,0.0017966628074645996,0.9982033371925354,0.0009603500366210938,9.817390491662081e-06,0.0,0.9990170001983643,50.08003974613193,9.81738958216738e-06,0.19912748225033283,4.788372488692403,1.1253538131713867
19,geometry_only_original,-0.014967410825192928,0.002037644386291504,0.9979623556137085,0.0010815858840942383,1.1032218026230112e-05,0.0,0.998890221118927,49.573371281199414,1.1032218935724813e-05,0.19812890328466892,5.027266103774309,1.1253538131713867
