iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,delta_only,0.19784416258335114,0.006341874599456787,0.9936581254005432,0.05224853754043579,0.000202234456082806,0.0,0.9472618699073792,36.941449111866085,0.00020223442697897553,0.7207636199891567,0.7209767121821642,6.559683799743652
1,delta_only,-0.04530471935868263,0.02811145782470703,0.971888542175293,0.047158122062683105,0.00019146452541463077,9.997276356443763e-05,0.9523705840110779,37.179117134176835,0.00019146451086271554,0.5022666212171316,2.385638678446412,6.675932884216309
2,delta_only,-0.40818750858306885,0.06289565563201904,0.937104344367981,0.044149935245513916,0.00019035267177969217,0.0003275869239587337,0.9553956389427185,37.20440923471547,0.00019035271543543786,0.5868098121136427,3.0485188495367765,6.686003684997559
3,delta_only,-0.8834036588668823,0.10964620113372803,0.890353798866272,0.04260760545730591,0.0001965881383512169,0.0006550890975631773,0.9569531083106995,37.06442786425644,0.00019658809469547123,0.6722496543079615,3.778088603168726,6.686003684997559
4,delta_only,-1.4522666931152344,0.16626453399658203,0.833735466003418,0.04207134246826172,0.00020840714569203556,0.001069620717316866,0.9575014710426331,36.81087485359959,0.00020840710203628987,0.5564872026443481,4.431897338479757,6.686003684997559
5,delta_only,-2.0973010063171387,0.23086678981781006,0.7691332101821899,0.042268574237823486,0.00022470064868684858,0.0015607253881171346,0.9573121070861816,36.48395758193619,0.0002247006050311029,0.5501774773001671,5.058423511683941,6.686003684997559
6,delta_only,-2.791239023208618,0.30064064264297485,0.6993593573570251,0.04302811622619629,0.0002445965656079352,0.0021187469828873873,0.9565568566322327,36.11549748557369,0.0002445965074002743,0.5640031434595585,5.697963362559676,6.686003684997559
7,delta_only,-3.5055911540985107,0.3726656436920166,0.6273343563079834,0.044207215309143066,0.0002677831507753581,0.002737301867455244,0.9553794860839844,35.72216658371961,0.000267783208983019,0.5764066744595766,6.372326858341694,6.686003684997559
8,delta_only,-4.234833717346191,0.4463268518447876,0.5536731481552124,0.045680344104766846,0.0002938496181741357,0.003403253387659788,0.9539063572883606,35.31874912281975,0.00029384958907030523,0.5610134247690439,6.991324940696359,6.686003684997559
9,delta_only,-5.000346660614014,0.5237271785736084,0.4762728214263916,0.047377705574035645,0.00032277876744046807,0.0041080256924033165,0.9522080421447754,34.910949628155045,0.000322778825648129,0.573523111641407,7.61891171708703,6.686003684997559
10,delta_only,-5.767399311065674,0.6013696193695068,0.39863038063049316,0.04925137758255005,0.0003544859937392175,0.004849233198910952,0.9503318667411804,34.50400955409186,0.00035448596463538706,0.6020877491682768,8.278515037149191,6.686003684997559
11,delta_only,-6.5139875411987305,0.6770357489585876,0.32296425104141235,0.051265060901641846,0.00038895540637895465,0.005626352969557047,0.9483141899108887,34.10100285041781,0.0003889553190674633,0.5678265132009983,8.898154325783253,6.686003684997559
12,delta_only,-7.2400712966918945,0.7507146000862122,0.24928539991378784,0.05340510606765747,0.00042600950109772384,0.006438370794057846,0.9461672902107239,33.7058068524552,0.0004260095302015543,0.5630505867302418,9.51736894249916,6.686003684997559
13,delta_only,-7.8910040855407715,0.8169314861297607,0.18306851387023926,0.05565148591995239,0.0004652671923395246,0.007283337414264679,0.9439136981964111,33.32297461384961,0.00046526730875484645,0.5717644076794386,10.142587598413229,6.686003684997559
14,delta_only,-8.47677230834961,0.8766653537750244,0.12333464622497559,0.057964324951171875,0.0005063265562057495,0.00815596617758274,0.9415917992591858,32.955692938038354,0.0005063265562057495,0.5687602572143078,10.767810627818108,6.686003684997559
15,delta_only,-9.026653289794922,0.9328380227088928,0.06716197729110718,0.06033259630203247,0.0005488633178174496,0.009051293134689331,0.9392130970954895,32.605359316244446,0.0005488631431944668,0.5590481087565422,11.387127213180065,6.686003684997559
16,delta_only,-9.538223266601562,0.9851983785629272,0.014801621437072754,0.06273847818374634,0.0005925523582845926,0.009963015094399452,0.9367955327033997,32.272733117610564,0.0005925523000769317,0.5521262008696795,12.01138766668737,6.686003684997559
17,delta_only,-10.01283073425293,1.0338746309280396,-0.03387463092803955,0.06516826152801514,0.0006372320931404829,0.010888715274631977,0.9343534111976624,31.95702478808061,0.0006372319185175002,0.5621820595115423,12.674468990415335,6.686003684997559
18,delta_only,-10.439001083374023,1.0777111053466797,-0.07771110534667969,0.06760597229003906,0.0006825712043792009,0.011825080029666424,0.9319021105766296,31.658520002101366,0.0006825712625868618,0.5636286847293377,13.292928704991937,6.686003684997559
19,delta_only,-10.810218811035156,1.1160483360290527,-0.11604833602905273,0.07003599405288696,0.0007283037411980331,0.01276804506778717,0.9294570088386536,31.376875632572208,0.0007283035665750504,0.5654122773557901,13.911171820014715,6.686003684997559
