mode,stage,stage_path,edit_path,edit_reused_from,input_ssim,input_psnr,input_mse,input_l2,output_ssim,output_psnr,output_mse,output_l2,arcface_original_vs_stage,arcface_clean_edit_vs_stage_edit,arcface_original_vs_clean_edit,arcface_stage_vs_stage_edit
combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/geometry_then_vae_reconstruction_edit.png,,0.9369521737098694,36.164871078161795,0.00024183151253964752,0.015550932851107278,0.9681671261787415,29.49242841640322,0.0011239763116464019,0.033525755944443694,0.9917916655540466,0.9746608138084412,0.8519901037216187,0.8703744411468506
combined,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/learned_combined_edit.png,,0.9274877905845642,31.206839752749353,0.0007573838229291141,0.02752060724128583,0.9251439571380615,25.167097605560613,0.0030429179314523935,0.055162649786358105,-0.11662275344133377,0.3425808548927307,0.8519901037216187,0.766700267791748
combined,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/learned_delta_only_edit.png,,0.9268004894256592,31.24831359786799,0.0007501854561269283,0.027389513616107322,0.9285421371459961,25.756827429395145,0.002656545490026474,0.051541686914831124,-0.11460957676172256,0.36603009700775146,0.8519901037216187,0.7466483116149902
combined,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/learned_geometry_on_original_edit.png,,0.9963361620903015,48.460152460929365,1.425557547918288e-05,0.003775655635672152,0.9818457961082458,33.30627714764876,0.00046705958084203303,0.021611561277289363,0.9992994070053101,0.9831601977348328,0.8519901037216187,0.8486964702606201
combined,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/learned_geometry_on_reconstruction_edit.png,,0.9370210766792297,36.16657633887965,0.00024173657584469765,0.0155478801077413,0.9752894043922424,31.6195082701936,0.0006887302733957767,0.026243671111256077,0.991796612739563,0.9823985695838928,0.8519901037216187,0.8791153430938721
combined,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/combined/vae_reconstruction_edit.png,,0.936385452747345,36.255742974144326,0.0002368239947827533,0.015389086872935422,0.9617331027984619,27.008534742790523,0.0019913450814783573,0.044624489705523324,0.9934309720993042,0.9457961320877075,0.8519901037216187,0.8533051013946533
delta_only,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/delta_only/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/delta_only/geometry_then_vae_reconstruction_edit.png,,0.9363910555839539,36.25597781474305,0.00023681118909735233,0.015388670803462927,0.9619788527488708,27.056562902379593,0.0019694443326443434,0.04437842192602553,0.9934126138687134,0.9438090920448303,0.8519901037216187,0.8516760468482971
delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/delta_only/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/delta_only/learned_combined_edit.png,,0.9267422556877136,31.234845787438243,0.0007525154505856335,0.027432015066079878,0.92423015832901,25.020423752105177,0.0031474411953240633,0.056102060526544505,-0.11572664231061935,0.35198524594306946,0.8519901037216187,0.7585467100143433
delta_only,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/delta_only/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/delta_only/learned_delta_only_edit.png,,0.9267414212226868,31.234819249034203,0.0007525200489908457,0.027432098880523993,0.9243342876434326,24.99613969406356,0.0031650897581130266,0.0562591304422049,-0.11568736284971237,0.3525841534137726,0.8519901037216187,0.7582423090934753
delta_only,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/delta_only/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image1_blue_mask_tps_20_corrected_v2/delta_only/learned_geometry_on_original_edit.png,,0.9987719058990479,56.727678445836005,2.1243797618808458e-06,0.0014575252182658267,0.9832308292388916,31.16333969191354,0.0007650080951862037,0.02765877971252896,0.9997627139091492,0.9899371862411499,0.8519901037216187,0.845227837562561
