iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,delta_only,0.26362234354019165,0.05941152572631836,0.9405884742736816,0.17153024673461914,0.0008636002312414348,0.0,0.8239538073539734,30.636872207772186,0.0008636002894490957,0.5057918075472116,0.5059669241309166,6.301804542541504
1,delta_only,-1.3929390907287598,0.22502732276916504,0.774972677230835,0.1714494824409485,0.0008667699876241386,9.999566827900708e-05,0.8240335583686829,30.62096222266055,0.0008667698130011559,0.38298199884593487,1.857178119942546,6.405857563018799
2,delta_only,-2.3377623558044434,0.3197389841079712,0.6802610158920288,0.17190790176391602,0.00087711465312168,0.0002680664765648544,0.8235678672790527,30.569436335854462,0.00087711465312168,0.5769628379493952,2.4777844324707985,6.405979633331299
3,delta_only,-3.22306227684021,0.4085580110549927,0.5914419889450073,0.17248564958572388,0.0008902783738449216,0.0004847477830480784,0.8229747414588928,30.504742045344152,0.0008902783156372607,0.5833571068942547,3.114813795313239,6.405979633331299
4,delta_only,-4.104100227355957,0.49708008766174316,0.5029199123382568,0.17332184314727783,0.0009078834555111825,0.000746432226151228,0.8221145272254944,30.419698980394173,0.0009078834555111825,0.5816265493631363,3.7675723265856504,6.405979633331299
5,delta_only,-4.935042381286621,0.5807645916938782,0.4192354083061218,0.17450189590454102,0.0009295381023548543,0.001052018254995346,0.8209038376808167,30.317329123037283,0.0009295378695242107,0.5671546272933483,4.3703007604926825,6.405979633331299
6,delta_only,-5.6361308097839355,0.6515637040138245,0.34843629598617554,0.17588186264038086,0.0009545531356707215,0.0013976141344755888,0.8194902539253235,30.201998648982354,0.0009545531938783824,0.6032459326088428,5.013132195919752,6.405979633331299
7,delta_only,-6.327393531799316,0.7214213609695435,0.27857863903045654,0.17734390497207642,0.0009818959515541792,0.0017756037414073944,0.8179921507835388,30.07934582094798,0.0009818958351388574,0.5942890048027039,5.648496156558394,6.405979633331299
8,delta_only,-6.956002235412598,0.7850375175476074,0.21496248245239258,0.1788538694381714,0.0010109966387972236,0.0021780161187052727,0.8164472579956055,29.95250238272053,0.0010109967552125454,0.5911224484443665,6.273747239261866,6.405979633331299
9,delta_only,-7.447925567626953,0.835006833076477,0.16499316692352295,0.18040716648101807,0.0010419137543067336,0.0026029134169220924,0.8148619532585144,29.821683258582894,0.00104191352147609,0.5756587330251932,6.885589627549052,6.405979633331299
10,delta_only,-7.88541841506958,0.8795379400253296,0.12046205997467041,0.1819702386856079,0.0010744594037532806,0.003044113051146269,0.8132681250572205,29.688099887895714,0.0010744594037532806,0.5846767257899046,7.5204452853649855,6.405979633331299
11,delta_only,-8.304788589477539,0.9222321510314941,0.07776784896850586,0.18348366022109985,0.0011081284610554576,0.0034968918189406395,0.811726987361908,29.55409844980953,0.0011081285774707794,0.5833456721156836,8.149628980085254,6.405979633331299
12,delta_only,-8.743767738342285,0.9668684601783752,0.033131539821624756,0.1849597692489624,0.001142596360296011,0.003958596847951412,0.8102220892906189,29.421071637043823,0.001142596360296011,0.5792260002344847,8.768033040687442,6.405979633331299
13,delta_only,-9.149078369140625,1.0081285238265991,-0.008128523826599121,0.1864171028137207,0.0011776176979765296,0.004426369443535805,0.80873703956604,29.289957619737663,0.001177617465145886,0.5948598012328148,9.418783323839307,6.405979633331299
14,delta_only,-9.541205406188965,1.0480506420135498,-0.048050642013549805,0.18783503770828247,0.0012127002701163292,0.004896910395473242,0.8072943091392517,29.16246525695415,0.0012127002701163292,0.5945436824113131,10.084736060351133,6.405979633331299
15,delta_only,-9.94136905670166,1.0887479782104492,-0.08874797821044922,0.18919610977172852,0.0012475758558139205,0.005368480458855629,0.8059110045433044,29.039331602589144,0.001247575506567955,0.5881373379379511,10.735003482550383,6.405979633331299
16,delta_only,-10.330259323120117,1.128291130065918,-0.12829113006591797,0.19050371646881104,0.0012825459707528353,0.005841074977070093,0.8045821785926819,28.919270987855374,0.0012825458543375134,0.5823952835053205,11.35104657523334,6.405979633331299
17,delta_only,-10.712696075439453,1.16717529296875,-0.16717529296875,0.19178378582000732,0.0013178500812500715,0.0063133337534964085,0.803279459476471,28.801340690422062,0.0013178498484194279,0.5884712766855955,11.975394640117884,6.405979633331299
18,delta_only,-11.072044372558594,1.2037447690963745,-0.2037447690963745,0.1930522918701172,0.0013531481381505728,0.006785033270716667,0.8019893169403076,28.68654693050121,0.001353148021735251,0.5927624069154263,12.607002252712846,6.405979633331299
19,delta_only,-11.413654327392578,1.238543152809143,-0.23854315280914307,0.1943259835243225,0.0013885158114135265,0.007257792633026838,0.8006939888000488,28.574491704541998,0.0013885158114135265,0.5873475838452578,13.241423202678561,6.405979633331299
20,delta_only,-11.741829872131348,1.2720112800598145,-0.27201128005981445,0.19562673568725586,0.0014237773139029741,0.007731270976364613,0.799372673034668,28.46557966789231,0.0014237771974876523,0.5872052777558565,13.89621039479971,6.405979633331299
