mode,stage,stage_path,edit_path,edit_reused_from,input_ssim,input_psnr,input_mse,input_l2,output_ssim,output_psnr,output_mse,output_l2,arcface_original_vs_stage,arcface_clean_edit_vs_stage_edit,arcface_original_vs_clean_edit,arcface_stage_vs_stage_edit
combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/geometry_then_vae_reconstruction_edit.png,,0.8108958601951599,29.939995754291033,0.001013912376947701,0.0318419907817916,0.8283720016479492,20.4332395836691,0.009050572291016579,0.09513449579945531,0.9315237402915955,0.9157074689865112,0.6473087072372437,0.6886230707168579
combined,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/learned_combined_edit.png,,0.7809810042381287,27.368283255702316,0.0018330388702452183,0.04281400320275153,0.46226993203163147,10.96244414254338,0.0801227018237114,0.2830595375953819,-0.39632323384284973,0.2923809885978699,0.6473087072372437,0.12868063151836395
combined,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/learned_delta_only_edit.png,,0.7905123829841614,27.57323191584179,0.0017485449789091945,0.04181560688199078,0.40894389152526855,8.920833217320006,0.1282084584236145,0.3580620873865516,-0.3962095379829407,0.26267775893211365,0.6473087072372437,-0.03338657319545746
combined,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/learned_geometry_on_original_edit.png,,0.9258390069007874,33.96134288927325,0.00040166659164242446,0.020041621482365754,0.8915953636169434,30.768392292101765,0.0008378393831662834,0.02894545531108957,0.9909049272537231,0.9901092648506165,0.6473087072372437,0.670121431350708
combined,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/learned_geometry_on_reconstruction_edit.png,,0.811945378780365,29.934180428005224,0.0010152709437534213,0.031863316584332856,0.8676071166992188,25.472408739265905,0.00283634546212852,0.05325735124964928,0.9312276244163513,0.9746204018592834,0.6473087072372437,0.6687641143798828
combined,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/combined/vae_reconstruction_edit.png,,0.8231146335601807,30.491206352076023,0.0008930573821999133,0.029884065690596942,0.8892146944999695,18.648265747324512,0.013651281595230103,0.11683869904800422,0.941228985786438,0.8325568437576294,0.6473087072372437,0.6270360946655273
delta_only,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/delta_only/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/delta_only/geometry_then_vae_reconstruction_edit.png,,0.8231096863746643,30.490972264211898,0.0008931055199354887,0.02988487108781781,0.8890214562416077,18.636566669982066,0.013688105158507824,0.11699617582856213,0.940906286239624,0.8344019651412964,0.6473087072372437,0.6294689178466797
delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/delta_only/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/delta_only/learned_combined_edit.png,,0.7883666157722473,27.587677084366177,0.001742738764733076,0.04174612275089839,0.4261620342731476,9.004387270570655,0.12576542794704437,0.3546342171125685,-0.5366889238357544,0.33576351404190063,0.6473087072372437,-0.04318348318338394
delta_only,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/delta_only/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/delta_only/learned_delta_only_edit.png,,0.7883581519126892,27.587644882315317,0.0017427516868337989,0.041746277520681996,0.4262305796146393,9.006373959109743,0.12570790946483612,0.35455311233274506,-0.5366888046264648,0.3331906199455261,0.6473087072372437,-0.042558956891298294
delta_only,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/delta_only/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image2_black_jacket_lens_30/delta_only/learned_geometry_on_original_edit.png,,0.9990448951721191,55.881840688269506,2.5811659725150093e-06,0.001606600750813658,0.987743079662323,42.34127209670654,5.8327423175796866e-05,0.007637239237826511,0.9996427893638611,0.9937304258346558,0.6473087072372437,0.6353799104690552
