mode,stage,stage_path,edit_path,edit_reused_from,input_ssim,input_psnr,input_mse,input_l2,output_ssim,output_psnr,output_mse,output_l2,arcface_original_vs_stage,arcface_clean_edit_vs_stage_edit,arcface_original_vs_clean_edit,arcface_stage_vs_stage_edit
combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/geometry_then_vae_reconstruction_edit.png,,0.8482821583747864,30.857580825924828,0.0008208086364902556,0.02864975805290955,0.8943900465965271,28.69146677079993,0.0013516159961000085,0.03676433048622004,0.9212043285369873,0.9037389159202576,0.7154477834701538,0.8282715678215027
combined,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_combined_edit.png,,0.8304069638252258,28.828669833126554,0.0013095829635858536,0.03618816054438045,0.7948563098907471,22.91251748089134,0.005113853141665459,0.07151120990212274,-0.42160165309906006,-0.060887660831213,0.7154477834701538,0.7983806133270264
combined,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_delta_only_edit.png,,0.8255951404571533,28.98208062645283,0.001264130580238998,0.035554614049923224,0.8196844458580017,24.06342481515714,0.003923354204744101,0.06263668417743791,-0.38177475333213806,0.01277732104063034,0.7154477834701538,0.7431547045707703
combined,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_geometry_on_original_edit.png,,0.9746219515800476,37.17920229505767,0.00019146075646858662,0.013836934504021714,0.9170935750007629,29.61575663935197,0.0010925072710961103,0.03305309775340445,0.95262211561203,0.8867493867874146,0.7154477834701538,0.6663755178451538
combined,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_geometry_on_reconstruction_edit.png,,0.8463272452354431,30.750243206384724,0.0008413480245508254,0.02900599980264127,0.8765437006950378,26.119773769478964,0.0024435578379780054,0.04943235618477037,0.9163569211959839,0.8437740802764893,0.7154477834701538,0.8589987754821777
combined,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/vae_reconstruction_edit.png,,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9090390205383301,28.20156194515901,0.0015130169922485948,0.03889751910146192,0.9418524503707886,0.8514978885650635,0.7154477834701538,0.8255723118782043
delta_only,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/geometry_then_vae_reconstruction_edit.png,,0.8349016308784485,29.077469681142016,0.0012366677401587367,0.03516628698282969,0.8320114612579346,24.892648139825265,0.003241419093683362,0.05693346198575458,0.9590513706207275,0.853841245174408,0.7154477834701538,0.8478948473930359
delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/learned_combined_edit.png,,0.8129915595054626,27.630681927966783,0.001725566922686994,0.04153994370105711,0.8017313480377197,23.434331144739815,0.004534891340881586,0.06734160185859545,-0.3525800406932831,-0.007138404995203018,0.7154477834701538,0.859839677810669
delta_only,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/learned_delta_only_edit.png,,0.8210617899894714,28.95360953532174,0.0012724450789391994,0.03567134815141137,0.8466216921806335,26.02896518475528,0.0024951891973614693,0.049951868807497773,-0.4759715795516968,0.09804268181324005,0.7154477834701538,0.6435073614120483
delta_only,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/learned_geometry_on_original_edit.png,,0.9118790030479431,30.874043956481508,0.0008177030249498785,0.028595507076285227,0.8571996092796326,25.97067855554863,0.002528902841731906,0.05028819783738433,0.9679957628250122,0.8822050094604492,0.7154477834701538,0.8342596888542175
delta_only,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/learned_geometry_on_reconstruction_edit.png,,0.8323142528533936,28.92724794118005,0.0012801922857761383,0.035779774814497345,0.7911052107810974,22.28956440272895,0.005902602802962065,0.07682839841466217,0.9418487548828125,0.8171666860580444,0.7154477834701538,0.9163596630096436
delta_only,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/vae_reconstruction_edit.png,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9090390205383301,28.20156194515901,0.0015130169922485948,0.03889751910146192,0.9418524503707886,0.8514978885650635,0.7154477834701538,0.8255723118782043
geometry_only_original,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/geometry_only_original/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/geometry_only_original/geometry_then_vae_reconstruction_edit.png,,0.8419769406318665,30.213522035249383,0.0009520237799733877,0.030854882595359,0.8161044716835022,23.651381637050225,0.0043138181790709496,0.06567966335990882,0.9011777639389038,0.7992551326751709,0.7154477834701538,0.9306762218475342
