iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,geometry_only_original,-1.1920928955078125e-06,3.5762786865234375e-07,0.9999996423721313,4.76837158203125e-07,1.9500290867734832e-13,0.0,1.0000003576278687,127.09958880438505,1.9500292222987547e-13,0.21923874132335186,0.2195004727691412,0.7811307907104492
1,geometry_only_original,0.0010231157066300511,8.177757263183594e-05,0.9999182224273682,0.0003681182861328125,3.0002865969436243e-06,0.0,0.9996090531349182,55.2283725810494,3.0002865969436243e-06,0.4101682137697935,0.8757611643522978,0.7811970710754395
2,geometry_only_original,-0.0014715628931298852,0.00019562244415283203,0.9998043775558472,9.691715240478516e-05,7.580050578326336e-07,0.0,0.9998946189880371,61.2032799420751,7.58004887302377e-07,0.2799359727650881,1.2406632602214813,0.7811970710754395
3,geometry_only_original,-0.00341963954269886,0.0004508495330810547,0.999549150466919,0.00021773576736450195,1.7706170183373615e-06,0.0,0.9997671246528625,57.51875365862196,1.7706170183373615e-06,0.22326106950640678,1.4979079030454159,0.7811970710754395
4,geometry_only_original,-0.006649445276707411,0.0008748173713684082,0.9991251826286316,0.0004196763038635254,3.4691875043790787e-06,0.0,0.9995631575584412,54.59772141166346,3.469188186500105e-06,0.214468564838171,1.7558588292449713,0.7811970710754395
5,geometry_only_original,-0.012725740671157837,0.001538991928100586,0.9984610080718994,0.0005327463150024414,4.474269644560991e-06,0.0,0.9994530081748962,53.492778464315805,4.474269644560991e-06,0.2142235767096281,2.0142267998307943,0.7811970710754395
6,geometry_only_original,-0.020939432084560394,0.002435922622680664,0.9975640773773193,0.0006838440895080566,5.743569545302307e-06,0.0,0.9993041157722473,52.40817978422599,5.743571364291711e-06,0.22265603952109814,2.280330592766404,0.7811970710754395
7,geometry_only_original,-0.030536463484168053,0.0035227537155151367,0.9964772462844849,0.0009380578994750977,7.840475518605672e-06,0.0,0.9990474581718445,51.056575465236705,7.840476428100374e-06,0.20908648893237114,2.547388684004545,0.7811970710754395
8,geometry_only_original,-0.04325701296329498,0.004964053630828857,0.9950359463691711,0.0012764930725097656,1.0586277312540915e-05,0.0,0.9987044334411621,49.75256659023653,1.0586279131530318e-05,0.21060954220592976,2.792708672583103,0.7811970710754395
9,geometry_only_original,-0.05885346978902817,0.006716609001159668,0.9932833909988403,0.0016622543334960938,1.3485564522852656e-05,0.0,0.9983152747154236,48.701308101326966,1.3485566341842059e-05,0.2189149111509323,3.0520876701921225,0.7811970710754395
10,geometry_only_original,-0.07720629870891571,0.008787155151367188,0.9912128448486328,0.002132713794708252,1.6861717085703276e-05,0.0,0.9978427886962891,47.73098108082094,1.6861720723682083e-05,0.25273270905017853,3.349257992580533,0.7811970710754395
11,geometry_only_original,-0.09695353358983994,0.011032283306121826,0.9889677166938782,0.0026734471321105957,2.0649426005547866e-05,0.0,0.9973008036613464,46.85092092486322,2.064942236756906e-05,0.2170934733003378,3.610392987728119,0.7811970710754395
12,geometry_only_original,-0.11865602433681488,0.013519525527954102,0.9864804744720459,0.003307342529296875,2.5158855351037346e-05,0.0,0.9966652989387512,45.993091846124095,2.515885171305854e-05,0.22508126497268677,3.87834794446826,0.7811970710754395
13,geometry_only_original,-0.14110082387924194,0.016123831272125244,0.9838761687278748,0.004026889801025391,3.0453431463683955e-05,0.0,0.9959419369697571,45.163637384443476,3.045343328267336e-05,0.29107722267508507,4.234421607106924,0.7811970710754395
14,geometry_only_original,-0.16399139165878296,0.018802881240844727,0.9811971187591553,0.0048067569732666016,3.642431693151593e-05,0.0,0.9951592087745667,44.38608583844999,3.642431693151593e-05,0.24742436595261097,4.513387992978096,0.7811970710754395
15,geometry_only_original,-0.18670904636383057,0.021491587162017822,0.9785084128379822,0.005640506744384766,4.2957944970112294e-05,0.0,0.9943232536315918,43.66956539448103,4.295794133213349e-05,0.2654389776289463,4.844216976314783,0.7811970710754395
16,geometry_only_original,-0.21146635711193085,0.024375557899475098,0.9756244421005249,0.006456851959228516,4.967361383023672e-05,0.0,0.9935056567192078,43.03874179664198,4.967362110619433e-05,0.2288119625300169,5.147880157455802,0.7811970710754395
17,geometry_only_original,-0.23727862536907196,0.02736663818359375,0.9726333618164062,0.007276415824890137,5.6700177083257586e-05,0.0,0.9926851391792297,42.46415445412099,5.670019527315162e-05,0.21087810210883617,5.4014212395995855,0.7811970710754395
18,geometry_only_original,-0.26317253708839417,0.030382931232452393,0.9696170687675476,0.008130073547363281,6.404654413927346e-05,0.0,0.991831362247467,41.93504249863973,6.404655141523108e-05,0.21386813931167126,5.657508412376046,0.7811970710754395
19,geometry_only_original,-0.2909540832042694,0.03361153602600098,0.966388463973999,0.009030818939208984,7.180579996202141e-05,0.0,0.9909298419952393,41.43840519126555,7.18057926860638e-05,0.22248096764087677,5.923688407987356,0.7811970710754395
20,geometry_only_original,-0.3214792311191559,0.037116408348083496,0.9628835916519165,0.009935379028320312,7.945736433612183e-05,0.0,0.9900238513946533,40.9986576539741,7.945737888803706e-05,0.2040038648992777,6.169517353177071,0.7811970710754395
21,geometry_only_original,-0.3543667793273926,0.040875792503356934,0.9591242074966431,0.010876476764678955,8.762910147197545e-05,0.0,0.9890809059143066,40.573516414365784,8.762910147197545e-05,0.2138904258608818,6.429667372256517,0.7811970710754395
22,geometry_only_original,-0.3902777135372162,0.044945478439331055,0.955054521560669,0.011833488941192627,9.6278396085836e-05,0.0,0.9881219863891602,40.16471251765897,9.627837425796315e-05,0.21108803153038025,6.683337675407529,0.7811970710754395
23,geometry_only_original,-0.4286195635795593,0.049263834953308105,0.9507361650466919,0.012801647186279297,0.00010546069097472355,0.0,0.9871501922607422,39.76909237698643,0.00010546072735451162,0.25320536829531193,7.003574563190341,0.7811970710754395
24,geometry_only_original,-0.46642792224884033,0.053556084632873535,0.9464439153671265,0.013824284076690674,0.00011508422903716564,0.0,0.9861224293708801,39.38984269701584,0.0001150842072092928,0.23336096294224262,7.282244035974145,0.7811970710754395
