mode,stage,stage_path,edit_path,edit_reused_from,input_ssim,input_psnr,input_mse,input_l2,output_ssim,output_psnr,output_mse,output_l2,arcface_original_vs_stage,arcface_clean_edit_vs_stage_edit,arcface_original_vs_clean_edit,arcface_stage_vs_stage_edit
combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/geometry_then_vae_reconstruction_edit.png,,0.8448401093482971,31.03927792731074,0.0007871766574680805,0.028056668680869448,0.9284332394599915,31.149612937171707,0.0007674298831261694,0.02770252485110643,0.9472426176071167,0.9467483758926392,0.7154477834701538,0.7704894542694092
combined,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/learned_combined_edit.png,,0.8257734775543213,29.013288369932205,0.0012550792889669538,0.035427098229560854,0.8290953040122986,24.655015366279294,0.0034237217623740435,0.05851257781344148,-0.45695704221725464,0.00647212378680706,0.7154477834701538,0.7694188356399536
combined,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/learned_delta_only_edit.png,,0.8217881321907043,28.94705252157728,0.0012743676779791713,0.03569828676532211,0.8223423361778259,24.381481364220974,0.003646295517683029,0.06038456357118953,-0.4546113610267639,0.00016126036643981934,0.7154477834701538,0.7764449119567871
combined,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/learned_geometry_on_original_edit.png,,0.9966415762901306,46.71910739168468,2.1285764887579717e-05,0.004613649844491855,0.9176867008209229,26.846518137337803,0.0020670366939157248,0.045464675231609485,0.9975626468658447,0.8108847141265869,0.7154477834701538,0.5595430135726929
combined,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/learned_geometry_on_reconstruction_edit.png,,0.8442714214324951,31.030644358837648,0.0007887430838309228,0.028084570209118795,0.9398091435432434,31.514820821142685,0.0007055339519865811,0.02656188908919283,0.9337466359138489,0.9711416959762573,0.7154477834701538,0.7653219103813171
combined,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/combined/vae_reconstruction_edit.png,,0.8401924967765808,30.935105990148553,0.0008062865235842764,0.0283951848661754,0.9090390205383301,28.20156194515901,0.0015130169922485948,0.03889751910146192,0.9418524503707886,0.8514978885650635,0.7154477834701538,0.8255723118782043
delta_only,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/delta_only/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/delta_only/geometry_then_vae_reconstruction_edit.png,,0.8401780724525452,30.934816927800853,0.0008063401910476387,0.028396129860381304,0.9063002467155457,28.037161538882344,0.001571389497257769,0.03964075550816065,0.9419842958450317,0.8521723747253418,0.7154477834701538,0.8286423683166504
delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/delta_only/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/delta_only/learned_combined_edit.png,,0.82197505235672,28.97122564195621,0.0012672941666096449,0.03559907536172316,0.8179333806037903,24.066127193793086,0.003920913673937321,0.06261719950570546,-0.46088212728500366,0.042894214391708374,0.7154477834701538,0.7356019020080566
delta_only,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/delta_only/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/delta_only/learned_delta_only_edit.png,,0.8219749927520752,28.97121885983416,0.001267296145670116,0.035599103158227396,0.8180224895477295,24.072308610001485,0.003915336914360523,0.06257265308711564,-0.46088898181915283,0.04231702908873558,0.7154477834701538,0.7356492280960083
delta_only,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/delta_only/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25_corrected/delta_only/learned_geometry_on_original_edit.png,,0.9990048408508301,56.46701391545493,2.2557896954822354e-06,0.0015019286585860978,0.9678248763084412,33.687212869761936,0.000427837367169559,0.02068422991483026,0.9996470212936401,0.9275222420692444,0.7154477834701538,0.7870920896530151
