case,control,warp_type,warp_components,configured_iterations,configured_scale,mode,stage,input_ssim,input_psnr,output_ssim_vs_clean,output_psnr_vs_clean,output_l2_vs_clean,arcface_clean_vs_stage_edit,stage_path,edit_path
image2_black_jacket,all_iter50_scale05,all,bspline+polar+bezier+lens+mobius+laplacian+geodesic+diffgeom+delaunay+tps+rolling+fft+homography,50.0,0.5,combined,learned_combined,0.7898598313331604,26.402940510596608,0.44937923550605774,9.157113846424307,0.34845308003853587,0.3611451983451843,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_combined_edit.png
image2_black_jacket,all_iter50_scale05,all,bspline+polar+bezier+lens+mobius+laplacian+geodesic+diffgeom+delaunay+tps+rolling+fft+homography,50.0,0.5,combined,learned_delta_only,0.7771046161651611,26.21748715508303,0.4012579023838043,8.842374597685426,0.36131107186980627,0.1705062985420227,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_delta_only_edit.png
image2_black_jacket,all_iter50_scale05,all,bspline+polar+bezier+lens+mobius+laplacian+geodesic+diffgeom+delaunay+tps+rolling+fft+homography,50.0,0.5,combined,learned_geometry_on_original,0.9811279773712158,40.263166815227706,0.9284209609031677,31.63471570508257,0.026197763349957867,0.9803228378295898,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_geometry_on_original_edit.png
image2_black_jacket,all_iter50_scale05,all,bspline+polar+bezier+lens+mobius+laplacian+geodesic+diffgeom+delaunay+tps+rolling+fft+homography,50.0,0.5,combined,learned_geometry_on_reconstruction,0.8396674990653992,30.92882744805862,0.937169075012207,32.10003873175299,0.02483122032637771,0.9861525893211365,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,all_iter50_scale05,all,bspline+polar+bezier+lens+mobius+laplacian+geodesic+diffgeom+delaunay+tps+rolling+fft+homography,50.0,0.5,geometry_only_original,learned_geometry_on_original,0.7899782061576843,25.51103186447293,0.7196228504180908,22.152723200376457,0.07804837045010095,0.6986256837844849,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,all_iter50_scale05,all,bspline+polar+bezier+lens+mobius+laplacian+geodesic+diffgeom+delaunay+tps+rolling+fft+homography,50.0,0.5,geometry_only_reconstruction,learned_geometry_on_reconstruction,0.734036386013031,24.26737777348912,0.5576543211936951,17.178671697363782,0.13837779791044194,0.5413662195205688,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,bspline,100.0,1.0,combined,learned_combined,0.7873060703277588,26.168400433335947,0.4088743031024933,8.9144334985383,0.3583260029035599,0.29926514625549316,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_combined_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,bspline,100.0,1.0,combined,learned_delta_only,0.7857704758644104,26.149723318792923,0.40204986929893494,8.853410087377526,0.36085231485870434,0.27489858865737915,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_delta_only_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,bspline,100.0,1.0,combined,learned_geometry_on_original,0.9978527426719666,50.84414166301578,0.9823138117790222,38.55579307460608,0.011808924508320804,0.992997944355011,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_geometry_on_original_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,bspline,100.0,1.0,combined,learned_geometry_on_reconstruction,0.8251051306724548,30.54383364951005,0.9053165316581726,20.284715389329264,0.09677523409548566,0.8856825828552246,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_geometry_on_reconstruction_edit.png
